strategy,pair,signal_ts,execution_ts,action,phase,quantity,average_price,fee_quote,slippage_bps,dust_base,quote_notional,signal_price,orders_cancelled,exit_latency_seconds,retry_count,post_signal_additional_loss,risk_cycle_baseline,execution_policy_version
grid,ETH-FDUSD,1765656000,1765656300,MARKET_EXIT,EXITING,0.0421,3113.367202,0.1310727592042,2.0,1.831938096462371e-05,131.0727592042,3114.24,True,300.0,0,0.16784961392087894,,v22-risk-off-forced-exit-v2
grid,ETH-FDUSD,1766160000,1766160300,MARKET_REENTRY,REENTRY,0.0335,2978.915664,0.09979367474400001,2.0,1.831938096462371e-05,99.79367474400001,,False,,0,0.0,209.738594511949,v22-risk-off-forced-exit-v2
grid,BTC-FDUSD,1766865600,1766865900,MARKET_EXIT,EXITING,0.00086,87690.148462,0.07541352767731999,2.0,7.173124995103969e-06,75.41352767731999,87707.36,True,300.0,0,0.09010677751365392,,v22-risk-off-forced-exit-v2
grid,BTC-FDUSD,1767182400,1767182700,MARKET_REENTRY,REENTRY,0.00112,89012.388918,0.09969387558815998,2.0,7.173124995103969e-06,99.69387558815998,,False,,0,0.0,207.65223388677833,v22-risk-off-forced-exit-v2
grid,ETH-FDUSD,1768636800,1768637100,MARKET_EXIT,EXITING,0.0439,3294.420984,0.1446250811976,2.0,1.5206733880474e-05,144.6250811976,3294.97,True,300.0,0,0.16871441407585053,,v22-risk-off-forced-exit-v2
grid,ETH-FDUSD,1769472000,1769472300,MARKET_REENTRY,REENTRY,0.034,2931.78624,0.09968073216000001,2.0,1.5206733880474e-05,99.68073216,,False,,0,0.0,225.0767258780423,v22-risk-off-forced-exit-v2
grid,BTC-FDUSD,1769529600,1769529900,MARKET_EXIT,EXITING,0.00145,88247.64694,0.127959088063,2.0,3.7645264112894095e-06,127.959088063,88263.43,True,300.0,0,0.1498238866623467,,v22-risk-off-forced-exit-v2
grid,ETH-FDUSD,1769716800,1769717100,MARKET_EXIT,EXITING,0.0404,2795.460796,0.11293661615839999,2.0,1.080133535197314e-05,112.93661615839999,2796.0,True,300.0,0,0.13470587595568873,,v22-risk-off-forced-exit-v2
grid,BTC-FDUSD,1770422400,1770422700,MARKET_REENTRY,REENTRY,0.00142,70284.054,0.09980335668000001,2.0,3.7645264112894095e-06,99.80335668000001,,False,,0,0.0,205.3669482639849,v22-risk-off-forced-exit-v2
grid,ETH-FDUSD,1770436800,1770437100,MARKET_REENTRY,REENTRY,0.0477,2090.06793,0.099696240261,2.0,1.080133535197314e-05,99.696240261,,False,,0,0.0,220.94040461879115,v22-risk-off-forced-exit-v2
grid,BTC-FDUSD,1772841600,1772841900,MARKET_EXIT,EXITING,0.00236,68120.8731,0.160765260516,2.0,6.148055193455366e-06,160.765260516,68135.0,True,300.0,0,0.19353291390245886,,v22-risk-off-forced-exit-v2
grid,BTC-FDUSD,1773086400,1773086700,MARKET_REENTRY,REENTRY,0.00144,68988.54495,0.099343504728,2.0,6.148055193455366e-06,99.343504728,,False,,0,0.0,203.33181198903435,v22-risk-off-forced-exit-v2
