rank,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,min_grid_move_seconds,portfolio_stop_loss,stage,initial_quote,final_equity,net_pnl_quote,net_pnl_pct,max_drawdown_pct,liquidated,liquidation_step,cooldown_hours,trades,completed_cycles,grid_moves,open_positions,score
1,0.1,8,0.005,0.005,0.005,0.04,0.0,0.08,1,10000,9910.754701214733,-89.24529878526664,-0.008924529878526663,-0.033962305052888934,False,-1,24,28076,13885,555,10,-0.008924529878526663
2,0.1,8,0.005,0.005,0.015,0.04,0.0,0.08,1,10000,9900.381417510636,-99.61858248936369,-0.009961858248936369,-0.03392078598044633,False,-1,24,27136,13416,418,10,-0.009961858248936369
3,0.1,8,0.005,0.005,0.01,0.04,0.0,0.08,1,10000,9899.767070739554,-100.23292926044633,-0.010023292926044633,-0.03395062037652525,False,-1,24,27462,13575,493,10,-0.010023292926044633
4,0.08,8,0.005,0.005,0.01,0.04,0.0,0.08,1,10000,9891.804004553056,-108.19599544694393,-0.010819599544694393,-0.04019431806685131,False,-1,24,34495,17056,671,10,-0.010819599544694393
5,0.08,8,0.005,0.005,0.015,0.04,0.0,0.08,1,10000,9880.84849109126,-119.15150890874065,-0.011915150890874065,-0.04046291974159732,False,-1,24,33461,16543,571,10,-0.011915150890874065
6,0.08,8,0.005,0.005,0.005,0.04,0.0,0.08,1,10000,9857.851806333458,-142.14819366654228,-0.014214819366654228,-0.04526681939586911,False,-1,24,35561,17576,835,10,-0.014214819366654228
7,0.1,12,0.005,0.005,0.015,0.04,0.0,0.08,1,10000,9856.347855043852,-143.65214495614782,-0.014365214495614783,-0.05138616194881473,False,-1,24,41842,20691,418,10,-0.014365214495614783
8,0.1,8,0.005,0.008,0.005,0.04,0.0,0.08,1,10000,9851.7351273599,-148.2648726401003,-0.01482648726401003,-0.042222710501457844,False,-1,24,18727,9177,555,10,-0.01482648726401003
9,0.1,8,0.005,0.008,0.01,0.04,0.0,0.08,1,10000,9848.16283835646,-151.83716164353973,-0.015183716164353973,-0.0418360035959149,False,-1,24,18329,8978,493,10,-0.015183716164353973
10,0.1,8,0.005,0.008,0.015,0.04,0.0,0.08,1,10000,9845.112472477846,-154.88752752215441,-0.01548875275221544,-0.04151579559213765,False,-1,24,17896,8765,418,10,-0.01548875275221544
11,0.06,8,0.005,0.005,0.005,0.04,0.0,0.08,1,10000,9841.267593381242,-158.73240661875752,-0.015873240661875752,-0.05676297885744291,False,-1,24,48085,23782,1318,10,-0.015873240661875752
12,0.1,12,0.005,0.005,0.005,0.04,0.0,0.08,1,10000,9840.660079031328,-159.33992096867223,-0.015933992096867224,-0.053744009388798385,False,-1,24,43860,21687,555,10,-0.015933992096867224
13,0.06,8,0.005,0.005,0.015,0.04,0.0,0.08,1,10000,9829.340395693596,-170.6596043064037,-0.017065960430640372,-0.05481967214291774,False,-1,24,43416,21462,827,10,-0.017065960430640372
14,0.08,12,0.005,0.005,0.015,0.04,0.0,0.08,1,10000,9827.030789066312,-172.96921093368837,-0.017296921093368837,-0.062039876428701464,False,-1,24,51689,25557,571,10,-0.017296921093368837
15,0.1,12,0.005,0.005,0.01,0.04,0.0,0.08,1,10000,9826.394580089269,-173.60541991073114,-0.017360541991073113,-0.054543607029434234,False,-1,24,43117,21313,493,10,-0.017360541991073113
16,0.08,12,0.005,0.005,0.01,0.04,0.0,0.08,1,10000,9823.03108335672,-176.96891664327995,-0.017696891664327995,-0.06434272687666867,False,-1,24,53717,26559,671,10,-0.017696891664327995
17,0.1,8,0.01,0.005,0.005,0.04,0.0,0.08,1,10000,9821.509402431046,-178.4905975689544,-0.01784905975689544,-0.0671143952471567,False,-1,24,28076,13885,555,10,-0.01784905975689544
18,0.1,8,0.005,0.01,0.015,0.04,0.0,0.08,1,10000,9817.729176099861,-182.27082390013857,-0.018227082390013857,-0.04514517372234329,False,-1,24,14553,7081,418,10,-0.018227082390013857
19,0.1,8,0.005,0.01,0.01,0.04,0.0,0.08,1,10000,9815.747475588885,-184.2525244111148,-0.01842525244111148,-0.04586561630194949,False,-1,24,15056,7326,493,10,-0.01842525244111148
20,0.1,8,0.005,0.01,0.005,0.04,0.0,0.08,1,10000,9813.32786417356,-186.67213582644035,-0.018667213582644036,-0.04621225871056733,False,-1,24,15415,7503,555,10,-0.018667213582644036
21,0.08,8,0.005,0.008,0.01,0.04,0.0,0.08,1,10000,9805.497055450433,-194.50294454956747,-0.019450294454956746,-0.05217129245650756,False,-1,24,22842,11183,671,10,-0.019450294454956746
22,0.06,8,0.005,0.005,0.01,0.04,0.0,0.08,1,10000,9805.267109242846,-194.73289075715365,-0.019473289075715366,-0.05882134216947066,False,-1,24,46273,22869,1019,10,-0.019473289075715366
23,0.1,16,0.005,0.005,0.005,0.04,0.0,0.08,1,10000,9801.988430151549,-198.01156984845147,-0.019801156984845147,-0.07033745246138826,False,-1,24,59421,29386,555,10,-0.019801156984845147
24,0.1,8,0.01,0.005,0.015,0.04,0.0,0.08,1,10000,9800.762835022799,-199.23716497720125,-0.019923716497720123,-0.06708597036144923,False,-1,24,27136,13416,418,10,-0.019923716497720123
25,0.1,8,0.01,0.005,0.01,0.04,0.0,0.08,1,10000,9799.534141480652,-200.46585851934833,-0.020046585851934834,-0.06714951916504168,False,-1,24,27462,13575,493,10,-0.020046585851934834
26,0.08,8,0.005,0.008,0.015,0.04,0.0,0.08,1,10000,9795.992497829311,-204.0075021706889,-0.02040075021706889,-0.050991364623443246,False,-1,24,22160,10853,571,10,-0.02040075021706889
27,0.08,12,0.005,0.005,0.005,0.04,0.0,0.08,1,10000,9795.110581927898,-204.88941807210176,-0.020488941807210177,-0.06975424415753378,False,-1,24,55458,27413,835,10,-0.020488941807210177
28,0.1,16,0.005,0.005,0.015,0.04,0.0,0.08,1,10000,9785.937734666164,-214.06226533383597,-0.021406226533383598,-0.07154172789636339,False,-1,24,56861,28106,418,10,-0.021406226533383598
29,0.08,8,0.01,0.005,0.01,0.04,0.0,0.08,1,10000,9783.60800910805,-216.39199089195063,-0.021639199089195062,-0.07922530580893197,False,-1,24,34495,17056,671,10,-0.021639199089195062
30,0.08,8,0.005,0.008,0.005,0.04,0.0,0.08,1,10000,9776.464809214596,-223.53519078540376,-0.022353519078540374,-0.05675091723930807,False,-1,24,24017,11758,835,10,-0.022353519078540374
31,0.1,12,0.005,0.008,0.015,0.04,0.0,0.08,1,10000,9772.831842027657,-227.16815797234267,-0.022716815797234266,-0.06243764713034458,False,-1,24,27508,13476,418,10,-0.022716815797234266
32,0.08,8,0.005,0.01,0.015,0.04,0.0,0.08,1,10000,9769.621639767545,-230.37836023245472,-0.023037836023245474,-0.05537796852983882,False,-1,24,18348,8931,571,10,-0.023037836023245474
33,0.08,8,0.005,0.01,0.01,0.04,0.0,0.08,1,10000,9766.90525051046,-233.09474948954085,-0.023309474948954086,-0.0575235400126779,False,-1,24,18907,9197,671,10,-0.023309474948954086
34,0.1,16,0.005,0.005,0.01,0.04,0.0,0.08,1,10000,9763.817917780161,-236.18208221983878,-0.023618208221983877,-0.07324184337344458,False,-1,24,58223,28779,493,10,-0.023618208221983877
35,0.08,8,0.01,0.005,0.015,0.04,0.0,0.08,1,10000,9761.69698218439,-238.30301781560956,-0.023830301781560956,-0.07982760028091626,False,-1,24,33461,16543,571,10,-0.023830301781560956
36,0.1,12,0.005,0.008,0.005,0.04,0.0,0.08,1,10000,9755.995716298126,-244.00428370187365,-0.024400428370187365,-0.06664343040004607,False,-1,24,29277,14349,555,10,-0.024400428370187365
37,0.1,12,0.005,0.008,0.01,0.04,0.0,0.08,1,10000,9746.400850069163,-253.59914993083657,-0.025359914993083658,-0.0655763135819429,False,-1,24,28561,13992,493,10,-0.025359914993083658
38,0.06,8,0.005,0.008,0.015,0.04,0.0,0.08,1,10000,9742.834904619256,-257.1650953807439,-0.02571650953807439,-0.06738256406587144,False,-1,24,28940,14174,827,10,-0.02571650953807439
39,0.08,8,0.005,0.01,0.005,0.04,0.0,0.08,1,10000,9734.28875167256,-265.71124832743953,-0.026571124832743955,-0.06263985890747754,False,-1,24,20000,9726,835,10,-0.026571124832743955
40,0.1,12,0.005,0.01,0.015,0.04,0.0,0.08,1,10000,9725.354826491312,-274.64517350868846,-0.027464517350868845,-0.06873575602833056,False,-1,24,22550,10977,418,10,-0.027464517350868845
41,0.1,12,0.005,0.01,0.01,0.04,0.0,0.08,1,10000,9706.757301880181,-293.24269811981867,-0.029324269811981867,-0.07064143186152937,False,-1,24,23293,11336,493,10,-0.029324269811981867
42,0.1,12,0.005,0.01,0.005,0.04,0.0,0.08,1,10000,9701.234135027946,-298.76586497205426,-0.029876586497205426,-0.07325251164390825,False,-1,24,24100,11732,555,10,-0.029876586497205426
43,0.08,12,0.005,0.008,0.015,0.04,0.0,0.08,1,10000,9699.541675711793,-300.4583242882072,-0.030045832428820723,-0.07852944998174165,False,-1,24,34182,16739,571,10,-0.030045832428820723
44,0.06,8,0.005,0.008,0.005,0.04,0.0,0.08,1,10000,9698.67100096766,-301.3289990323392,-0.03013289990323392,-0.07630637203625242,False,-1,24,32572,15952,1318,10,-0.03013289990323392
45,0.06,8,0.005,0.008,0.01,0.04,0.0,0.08,1,10000,9696.970749130916,-303.0292508690836,-0.030302925086908364,-0.07349628142815756,False,-1,24,30883,15116,1019,10,-0.030302925086908364
46,0.06,8,0.005,0.01,0.015,0.04,0.0,0.08,1,10000,9696.669731666701,-303.3302683332986,-0.03033302683332986,-0.07318435672550862,False,-1,24,23936,11646,827,10,-0.03033302683332986
