rank,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,min_grid_move_seconds,portfolio_stop_loss,stage,initial_quote,final_equity,net_pnl_quote,net_pnl_pct,max_drawdown_pct,liquidated,liquidation_step,cooldown_hours,trades,completed_cycles,grid_moves,open_positions,score
1,0.06,8,0.005,0.005,0.005,0.04,0.0,0.08,1,10000,9841.267593381242,-158.73240661875752,-0.015873240661875752,-0.05676297885744291,False,-1,24,48085,23782,1318,10,-0.015873240661875752
2,0.06,8,0.005,0.005,0.015,0.04,0.0,0.08,1,10000,9829.340395693596,-170.6596043064037,-0.017065960430640372,-0.05481967214291774,False,-1,24,43416,21462,827,10,-0.017065960430640372
3,0.06,8,0.005,0.005,0.01,0.04,0.0,0.08,1,10000,9805.267109242846,-194.73289075715365,-0.019473289075715366,-0.05882134216947066,False,-1,24,46273,22869,1019,10,-0.019473289075715366
4,0.06,8,0.005,0.008,0.015,0.04,0.0,0.08,1,10000,9742.834904619256,-257.1650953807439,-0.02571650953807439,-0.06738256406587144,False,-1,24,28940,14174,827,10,-0.02571650953807439
5,0.06,8,0.005,0.008,0.005,0.04,0.0,0.08,1,10000,9698.67100096766,-301.3289990323392,-0.03013289990323392,-0.07630637203625242,False,-1,24,32572,15952,1318,10,-0.03013289990323392
6,0.06,8,0.005,0.008,0.01,0.04,0.0,0.08,1,10000,9696.970749130916,-303.0292508690836,-0.030302925086908364,-0.07349628142815756,False,-1,24,30883,15116,1019,10,-0.030302925086908364
7,0.06,8,0.005,0.01,0.015,0.04,0.0,0.08,1,10000,9696.669731666701,-303.3302683332986,-0.03033302683332986,-0.07318435672550862,False,-1,24,23936,11646,827,10,-0.03033302683332986
8,0.06,8,0.005,0.01,0.01,0.04,0.0,0.08,1,10000,9658.413352952346,-341.58664704765397,-0.0341586647047654,-0.07910788592271785,False,-1,24,25691,12495,1019,10,-0.0341586647047654
9,0.06,8,0.01,0.005,0.015,0.04,0.0,0.08,1,10000,9535.02038436529,-464.97961563470926,-0.04649796156347093,-0.08000526295545249,True,42655,24,34832,17177,682,0,-0.04649796156347093
10,0.06,12,0.005,0.005,0.005,0.04,0.0,0.08,1,10000,9491.994323337161,-508.0056766628386,-0.05080056766628386,-0.08059473447783841,True,42813,24,60709,29949,1097,0,-0.05080056766628386
11,0.06,12,0.005,0.005,0.01,0.04,0.0,0.08,1,10000,9479.123990058286,-520.8760099417141,-0.05208760099417141,-0.08016464634293913,True,42924,24,58283,28743,854,0,-0.05208760099417141
12,0.06,12,0.005,0.008,0.015,0.04,0.0,0.08,1,10000,9455.867873693474,-544.1321263065256,-0.05441321263065256,-0.0800335082885977,True,42659,24,35657,17381,684,0,-0.05441321263065256
13,0.06,12,0.005,0.005,0.015,0.04,0.0,0.08,1,10000,9442.627252960465,-557.3727470395352,-0.05573727470395352,-0.08111704945235546,True,42924,24,54772,26983,696,0,-0.05573727470395352
14,0.06,8,0.005,0.01,0.005,0.04,0.0,0.08,1,10000,9388.740269827958,-611.2597301720416,-0.06112597301720416,-0.08012044645397537,True,42923,24,22539,10873,1113,0,-0.06112597301720416
15,0.06,12,0.015,0.01,0.005,0.04,0.0,0.08,1,10000,9275.55480508345,-724.4451949165505,-0.07244451949165505,-0.080156676458382,True,6778,24,4124,1841,152,0,-0.07244451949165505
16,0.06,12,0.015,0.005,0.01,0.04,0.0,0.08,1,10000,9261.071461494055,-738.9285385059447,-0.07389285385059448,-0.08031998115062106,True,8073,24,12355,5963,179,0,-0.07389285385059448
17,0.06,12,0.015,0.005,0.005,0.04,0.0,0.08,1,10000,9260.546665948914,-739.4533340510861,-0.07394533340510862,-0.08086614917054635,True,7202,24,9538,4572,181,0,-0.07394533340510862
18,0.06,12,0.015,0.005,0.015,0.04,0.0,0.08,1,10000,9258.16923045063,-741.8307695493695,-0.07418307695493695,-0.08004670514867161,True,8075,24,11584,5582,153,0,-0.07418307695493695
19,0.06,12,0.015,0.008,0.005,0.04,0.0,0.08,1,10000,9256.632332341742,-743.3676676582581,-0.07433676676582582,-0.08171280367811182,True,6790,24,5027,2303,156,0,-0.07433676676582582
20,0.06,12,0.015,0.008,0.015,0.04,0.0,0.08,1,10000,9253.396404309184,-746.6035956908163,-0.07466035956908162,-0.08103554384468498,True,6795,24,4489,2054,98,0,-0.07466035956908162
21,0.06,12,0.01,0.01,0.005,0.04,0.0,0.08,1,10000,9250.940397419283,-749.0596025807172,-0.07490596025807172,-0.08003424400164882,True,7202,24,5301,2379,181,0,-0.07490596025807172
22,0.06,8,0.015,0.01,0.005,0.04,0.0,0.08,1,10000,9248.298497846987,-751.7015021530133,-0.07517015021530132,-0.0802840880101332,True,7957,24,4489,2044,236,0,-0.07517015021530132
23,0.06,12,0.015,0.01,0.01,0.04,0.0,0.08,1,10000,9248.028327322116,-751.9716726778843,-0.07519716726778843,-0.0820450565614229,True,6790,24,3797,1685,117,0,-0.07519716726778843
24,0.06,12,0.01,0.008,0.005,0.04,0.0,0.08,1,10000,9247.079978949501,-752.9200210504987,-0.07529200210504987,-0.08019071776926655,True,8089,24,8823,4114,240,0,-0.07529200210504987
25,0.06,8,0.015,0.01,0.01,0.04,0.0,0.08,1,10000,9244.077618184923,-755.9223818150767,-0.07559223818150768,-0.08020677546493313,True,7954,24,4204,1905,177,0,-0.07559223818150768
26,0.06,8,0.015,0.005,0.015,0.04,0.0,0.08,1,10000,9238.561889155444,-761.4381108445559,-0.07614381108445559,-0.08016647691170893,True,8244,24,8305,4008,171,0,-0.07614381108445559
27,0.06,12,0.01,0.008,0.01,0.04,0.0,0.08,1,10000,9237.392557254301,-762.6074427456988,-0.07626074427456987,-0.08078675557230006,True,8159,24,8479,3957,184,0,-0.07626074427456987
28,0.06,8,0.015,0.008,0.01,0.04,0.0,0.08,1,10000,9236.607011693332,-763.3929883066685,-0.07633929883066685,-0.08072022852367676,True,8154,24,5544,2578,183,0,-0.07633929883066685
29,0.06,12,0.01,0.005,0.01,0.04,0.0,0.08,1,10000,9234.805913846898,-765.194086153102,-0.0765194086153102,-0.08080385548563417,True,8211,24,13100,6326,198,0,-0.0765194086153102
30,0.06,8,0.015,0.008,0.015,0.04,0.0,0.08,1,10000,9234.28607187176,-765.7139281282398,-0.07657139281282398,-0.0807768011303091,True,8205,24,5324,2483,160,0,-0.07657139281282398
31,0.06,12,0.015,0.008,0.01,0.04,0.0,0.08,1,10000,9231.335976043183,-768.6640239568169,-0.07686640239568168,-0.08367429592782263,True,6791,24,4727,2168,121,0,-0.07686640239568168
32,0.06,12,0.01,0.005,0.015,0.04,0.0,0.08,1,10000,9229.241838266506,-770.7581617334945,-0.07707581617334945,-0.08098207799664162,True,8244,24,12684,6120,171,0,-0.07707581617334945
33,0.06,8,0.01,0.008,0.01,0.04,0.0,0.08,1,10000,9228.561833838856,-771.4381661611442,-0.07714381661611441,-0.08006378020614671,True,8263,24,6066,2818,202,0,-0.07714381661611441
34,0.06,12,0.01,0.008,0.015,0.04,0.0,0.08,1,10000,9228.171665053576,-771.8283349464236,-0.07718283349464236,-0.08140739436003896,True,8161,24,7946,3703,159,0,-0.07718283349464236
35,0.06,12,0.01,0.01,0.015,0.04,0.0,0.08,1,10000,9226.442557233791,-773.5574427662086,-0.07735574427662087,-0.08160600781182695,True,8155,24,6375,2903,157,0,-0.07735574427662087
36,0.06,16,0.005,0.005,0.015,0.04,0.0,0.08,1,10000,9224.313083400077,-775.6869165999233,-0.07756869165999233,-0.08025069796089884,True,8316,24,18640,9007,195,0,-0.07756869165999233
37,0.06,8,0.015,0.01,0.015,0.04,0.0,0.08,1,10000,9223.83303604622,-776.1669639537795,-0.07761669639537795,-0.08184512764654499,True,8159,24,4164,1891,157,0,-0.07761669639537795
38,0.06,12,0.01,0.01,0.01,0.04,0.0,0.08,1,10000,9223.690182056387,-776.3098179436129,-0.07763098179436129,-0.08216902176385794,True,8089,24,6797,3098,181,0,-0.07763098179436129
39,0.06,12,0.005,0.01,0.005,0.04,0.0,0.08,1,10000,9223.395024586529,-776.604975413471,-0.0776604975413471,-0.0802111875925036,True,8275,24,8256,3745,272,0,-0.0776604975413471
40,0.06,8,0.015,0.005,0.01,0.04,0.0,0.08,1,10000,9222.611789943156,-777.3882100568444,-0.07773882100568444,-0.08189854380797476,True,8209,24,8667,4180,193,0,-0.07773882100568444
41,0.06,8,0.01,0.005,0.01,0.04,0.0,0.08,1,10000,9221.925133904577,-778.0748660954232,-0.07780748660954231,-0.08058532267073601,True,8315,24,9692,4680,222,0,-0.07780748660954231
42,0.06,8,0.01,0.008,0.015,0.04,0.0,0.08,1,10000,9220.397709783823,-779.6022902161767,-0.07796022902161767,-0.0807627553155528,True,8275,24,5746,2677,180,0,-0.07796022902161767
43,0.06,16,0.005,0.008,0.005,0.04,0.0,0.08,1,10000,9219.871280591991,-780.1287194080087,-0.07801287194080087,-0.08127016614527909,True,8244,24,13135,6128,259,0,-0.07801287194080087
44,0.06,8,0.015,0.005,0.005,0.04,0.0,0.08,1,10000,9219.717215404742,-780.2827845952579,-0.07802827845952579,-0.08237940283358125,True,8210,24,8829,4262,257,0,-0.07802827845952579
45,0.06,8,0.015,0.008,0.005,0.04,0.0,0.08,1,10000,9219.491692474992,-780.5083075250077,-0.07805083075250077,-0.08276559761890674,True,8155,24,5807,2709,244,0,-0.07805083075250077
46,0.06,8,0.01,0.008,0.005,0.04,0.0,0.08,1,10000,9218.945597275495,-781.054402724505,-0.0781054402724505,-0.08125029486730516,True,8267,24,6339,2952,264,0,-0.0781054402724505
47,0.06,8,0.01,0.01,0.005,0.04,0.0,0.08,1,10000,9217.608369652698,-782.3916303473015,-0.07823916303473015,-0.081641166860914,True,8210,24,4960,2259,257,0,-0.07823916303473015
48,0.06,8,0.01,0.01,0.01,0.04,0.0,0.08,1,10000,9215.560181079307,-784.4398189206931,-0.07844398189206932,-0.08151230196768022,True,8210,24,4678,2118,196,0,-0.07844398189206932
49,0.06,16,0.005,0.005,0.01,0.04,0.0,0.08,1,10000,9213.360281601554,-786.6397183984463,-0.07866397183984464,-0.08145249345689456,True,8316,24,19859,9610,224,0,-0.07866397183984464
50,0.06,12,0.005,0.01,0.015,0.04,0.0,0.08,1,10000,9212.943691870982,-787.0563081290184,-0.07870563081290184,-0.08082992859600768,True,8315,24,7585,3452,193,0,-0.07870563081290184
51,0.06,16,0.005,0.008,0.01,0.04,0.0,0.08,1,10000,9212.34078258109,-787.65921741891,-0.078765921741891,-0.08171042905247373,True,8268,24,12518,5843,204,0,-0.078765921741891
52,0.06,12,0.01,0.005,0.005,0.04,0.0,0.08,1,10000,9212.073798408703,-787.9262015912973,-0.07879262015912973,-0.08338682731143807,True,8210,24,13651,6592,257,0,-0.07879262015912973
