rank,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,min_grid_move_seconds,portfolio_stop_loss,stage,initial_quote,final_equity,net_pnl_quote,net_pnl_pct,max_drawdown_pct,liquidated,liquidation_step,cooldown_hours,trades,completed_cycles,grid_moves,open_positions,score
1,0.06,8,0.005,0.005,0.005,0.04,1800.0,0.08,2,10000,9848.922126974358,-151.07787302564248,-0.015107787302564247,-0.05617529958825656,False,-1,24,48051,23767,1321,10,-0.015107787302564247
2,0.06,8,0.005,0.005,0.005,0.04,1800.0,0.1,2,10000,9848.922126974358,-151.07787302564248,-0.015107787302564247,-0.05617529958825656,False,-1,24,48051,23767,1321,10,-0.015107787302564247
3,0.06,8,0.005,0.005,0.005,0.04,1800.0,0.12,2,10000,9848.922126974358,-151.07787302564248,-0.015107787302564247,-0.05617529958825656,False,-1,24,48051,23767,1321,10,-0.015107787302564247
4,0.06,8,0.005,0.005,0.005,0.04,0.0,0.08,2,10000,9841.267593381242,-158.73240661875752,-0.015873240661875752,-0.05676297885744291,False,-1,24,48085,23782,1318,10,-0.015873240661875752
5,0.06,8,0.005,0.005,0.005,0.04,0.0,0.1,2,10000,9841.267593381242,-158.73240661875752,-0.015873240661875752,-0.05676297885744291,False,-1,24,48085,23782,1318,10,-0.015873240661875752
6,0.06,8,0.005,0.005,0.005,0.04,0.0,0.12,2,10000,9841.267593381242,-158.73240661875752,-0.015873240661875752,-0.05676297885744291,False,-1,24,48085,23782,1318,10,-0.015873240661875752
7,0.06,8,0.005,0.005,0.005,0.04,900.0,0.08,2,10000,9841.083671773244,-158.91632822675638,-0.01589163282267564,-0.056764001770661494,False,-1,24,48069,23774,1313,10,-0.01589163282267564
8,0.06,8,0.005,0.005,0.005,0.04,900.0,0.1,2,10000,9841.083671773244,-158.91632822675638,-0.01589163282267564,-0.056764001770661494,False,-1,24,48069,23774,1313,10,-0.01589163282267564
9,0.06,8,0.005,0.005,0.005,0.04,900.0,0.12,2,10000,9841.083671773244,-158.91632822675638,-0.01589163282267564,-0.056764001770661494,False,-1,24,48069,23774,1313,10,-0.01589163282267564
10,0.06,8,0.005,0.005,0.015,0.04,1800.0,0.08,2,10000,9830.147574740005,-169.85242525999456,-0.016985242525999457,-0.054528457082223356,False,-1,24,43332,21421,825,10,-0.016985242525999457
11,0.06,8,0.005,0.005,0.015,0.04,1800.0,0.1,2,10000,9830.147574740005,-169.85242525999456,-0.016985242525999457,-0.054528457082223356,False,-1,24,43332,21421,825,10,-0.016985242525999457
12,0.06,8,0.005,0.005,0.015,0.04,1800.0,0.12,2,10000,9830.147574740005,-169.85242525999456,-0.016985242525999457,-0.054528457082223356,False,-1,24,43332,21421,825,10,-0.016985242525999457
13,0.06,8,0.005,0.005,0.015,0.04,900.0,0.08,2,10000,9829.738105539991,-170.261894460009,-0.0170261894460009,-0.05482684629444719,False,-1,24,43381,21445,825,10,-0.0170261894460009
14,0.06,8,0.005,0.005,0.015,0.04,900.0,0.1,2,10000,9829.738105539991,-170.261894460009,-0.0170261894460009,-0.05482684629444719,False,-1,24,43381,21445,825,10,-0.0170261894460009
15,0.06,8,0.005,0.005,0.015,0.04,900.0,0.12,2,10000,9829.738105539991,-170.261894460009,-0.0170261894460009,-0.05482684629444719,False,-1,24,43381,21445,825,10,-0.0170261894460009
16,0.06,8,0.005,0.005,0.015,0.04,0.0,0.08,2,10000,9829.340395693596,-170.6596043064037,-0.017065960430640372,-0.05481967214291774,False,-1,24,43416,21462,827,10,-0.017065960430640372
17,0.06,8,0.005,0.005,0.015,0.04,0.0,0.1,2,10000,9829.340395693596,-170.6596043064037,-0.017065960430640372,-0.05481967214291774,False,-1,24,43416,21462,827,10,-0.017065960430640372
18,0.06,8,0.005,0.005,0.015,0.04,0.0,0.12,2,10000,9829.340395693596,-170.6596043064037,-0.017065960430640372,-0.05481967214291774,False,-1,24,43416,21462,827,10,-0.017065960430640372
19,0.06,8,0.005,0.005,0.01,0.04,900.0,0.08,2,10000,9805.428040649846,-194.57195935015443,-0.019457195935015444,-0.05882041232597644,False,-1,24,46287,22876,1016,10,-0.019457195935015444
20,0.06,8,0.005,0.005,0.01,0.04,900.0,0.1,2,10000,9805.428040649846,-194.57195935015443,-0.019457195935015444,-0.05882041232597644,False,-1,24,46287,22876,1016,10,-0.019457195935015444
21,0.06,8,0.005,0.005,0.01,0.04,900.0,0.12,2,10000,9805.428040649846,-194.57195935015443,-0.019457195935015444,-0.05882041232597644,False,-1,24,46287,22876,1016,10,-0.019457195935015444
22,0.06,8,0.005,0.005,0.01,0.04,0.0,0.08,2,10000,9805.267109242846,-194.73289075715365,-0.019473289075715366,-0.05882134216947066,False,-1,24,46273,22869,1019,10,-0.019473289075715366
23,0.06,8,0.005,0.005,0.01,0.04,0.0,0.1,2,10000,9805.267109242846,-194.73289075715365,-0.019473289075715366,-0.05882134216947066,False,-1,24,46273,22869,1019,10,-0.019473289075715366
24,0.06,8,0.005,0.005,0.01,0.04,0.0,0.12,2,10000,9805.267109242846,-194.73289075715365,-0.019473289075715366,-0.05882134216947066,False,-1,24,46273,22869,1019,10,-0.019473289075715366
25,0.06,8,0.005,0.005,0.01,0.04,1800.0,0.08,2,10000,9791.1861244548,-208.81387554520006,-0.020881387554520008,-0.05995920457989394,False,-1,24,46151,22805,1011,10,-0.020881387554520008
