rank,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,min_grid_move_seconds,portfolio_stop_loss,stage,initial_quote,final_equity,net_pnl_quote,net_pnl_pct,max_drawdown_pct,liquidated,liquidation_step,cooldown_hours,trades,completed_cycles,grid_moves,open_positions,score
1,0.1,8,0.005,0.005,0.005,0.04,0.0,0.08,2,10000,9910.754701214733,-89.24529878526664,-0.008924529878526663,-0.033962305052888934,False,-1,24,28076,13885,555,10,-0.008924529878526663
2,0.1,8,0.005,0.005,0.005,0.04,0.0,0.1,2,10000,9910.754701214733,-89.24529878526664,-0.008924529878526663,-0.033962305052888934,False,-1,24,28076,13885,555,10,-0.008924529878526663
3,0.1,8,0.005,0.005,0.005,0.04,0.0,0.12,2,10000,9910.754701214733,-89.24529878526664,-0.008924529878526663,-0.033962305052888934,False,-1,24,28076,13885,555,10,-0.008924529878526663
4,0.1,8,0.005,0.005,0.005,0.04,900.0,0.08,2,10000,9910.248916792734,-89.75108320726576,-0.008975108320726576,-0.033964002161115475,False,-1,24,28032,13863,545,10,-0.008975108320726576
5,0.1,8,0.005,0.005,0.005,0.04,900.0,0.1,2,10000,9910.248916792734,-89.75108320726576,-0.008975108320726576,-0.033964002161115475,False,-1,24,28032,13863,545,10,-0.008975108320726576
6,0.1,8,0.005,0.005,0.005,0.04,900.0,0.12,2,10000,9910.248916792734,-89.75108320726576,-0.008975108320726576,-0.033964002161115475,False,-1,24,28032,13863,545,10,-0.008975108320726576
7,0.1,8,0.005,0.005,0.005,0.04,1800.0,0.08,2,10000,9910.248916792734,-89.75108320726576,-0.008975108320726576,-0.033964002161115475,False,-1,24,28032,13863,545,10,-0.008975108320726576
8,0.1,8,0.005,0.005,0.005,0.04,1800.0,0.1,2,10000,9910.248916792734,-89.75108320726576,-0.008975108320726576,-0.033964002161115475,False,-1,24,28032,13863,545,10,-0.008975108320726576
9,0.1,8,0.005,0.005,0.005,0.04,1800.0,0.12,2,10000,9910.248916792734,-89.75108320726576,-0.008975108320726576,-0.033964002161115475,False,-1,24,28032,13863,545,10,-0.008975108320726576
10,0.1,8,0.005,0.005,0.015,0.04,0.0,0.08,2,10000,9900.381417510636,-99.61858248936369,-0.009961858248936369,-0.03392078598044633,False,-1,24,27136,13416,418,10,-0.009961858248936369
11,0.1,8,0.005,0.005,0.015,0.04,0.0,0.1,2,10000,9900.381417510636,-99.61858248936369,-0.009961858248936369,-0.03392078598044633,False,-1,24,27136,13416,418,10,-0.009961858248936369
12,0.1,8,0.005,0.005,0.015,0.04,0.0,0.12,2,10000,9900.381417510636,-99.61858248936369,-0.009961858248936369,-0.03392078598044633,False,-1,24,27136,13416,418,10,-0.009961858248936369
13,0.1,8,0.005,0.005,0.01,0.04,1800.0,0.08,2,10000,9900.204247225576,-99.79575277442382,-0.009979575277442383,-0.03372175744350819,False,-1,24,27327,13508,491,10,-0.009979575277442383
14,0.1,8,0.005,0.005,0.01,0.04,1800.0,0.1,2,10000,9900.204247225576,-99.79575277442382,-0.009979575277442383,-0.03372175744350819,False,-1,24,27327,13508,491,10,-0.009979575277442383
15,0.1,8,0.005,0.005,0.01,0.04,1800.0,0.12,2,10000,9900.204247225576,-99.79575277442382,-0.009979575277442383,-0.03372175744350819,False,-1,24,27327,13508,491,10,-0.009979575277442383
16,0.1,8,0.005,0.005,0.015,0.04,900.0,0.08,2,10000,9899.921213519156,-100.07878648084443,-0.010007878648084443,-0.03393959301478267,False,-1,24,27076,13386,418,10,-0.010007878648084443
17,0.1,8,0.005,0.005,0.015,0.04,900.0,0.1,2,10000,9899.921213519156,-100.07878648084443,-0.010007878648084443,-0.03393959301478267,False,-1,24,27076,13386,418,10,-0.010007878648084443
18,0.1,8,0.005,0.005,0.015,0.04,900.0,0.12,2,10000,9899.921213519156,-100.07878648084443,-0.010007878648084443,-0.03393959301478267,False,-1,24,27076,13386,418,10,-0.010007878648084443
19,0.1,8,0.005,0.005,0.01,0.04,0.0,0.08,2,10000,9899.767070739554,-100.23292926044633,-0.010023292926044633,-0.03395062037652525,False,-1,24,27462,13575,493,10,-0.010023292926044633
20,0.1,8,0.005,0.005,0.01,0.04,0.0,0.1,2,10000,9899.767070739554,-100.23292926044633,-0.010023292926044633,-0.03395062037652525,False,-1,24,27462,13575,493,10,-0.010023292926044633
21,0.1,8,0.005,0.005,0.01,0.04,0.0,0.12,2,10000,9899.767070739554,-100.23292926044633,-0.010023292926044633,-0.03395062037652525,False,-1,24,27462,13575,493,10,-0.010023292926044633
22,0.1,8,0.005,0.005,0.015,0.04,1800.0,0.08,2,10000,9899.760282112156,-100.23971788784365,-0.010023971788784366,-0.03394013308238823,False,-1,24,27062,13379,418,10,-0.010023971788784366
23,0.1,8,0.005,0.005,0.015,0.04,1800.0,0.1,2,10000,9899.760282112156,-100.23971788784365,-0.010023971788784366,-0.03394013308238823,False,-1,24,27062,13379,418,10,-0.010023971788784366
24,0.1,8,0.005,0.005,0.015,0.04,1800.0,0.12,2,10000,9899.760282112156,-100.23971788784365,-0.010023971788784366,-0.03394013308238823,False,-1,24,27062,13379,418,10,-0.010023971788784366
25,0.1,8,0.005,0.005,0.01,0.04,900.0,0.08,2,10000,9899.054374508556,-100.94562549144393,-0.010094562549144393,-0.03395301310572756,False,-1,24,27400,13544,489,10,-0.010094562549144393
26,0.1,8,0.005,0.005,0.01,0.04,900.0,0.1,2,10000,9899.054374508556,-100.94562549144393,-0.010094562549144393,-0.03395301310572756,False,-1,24,27400,13544,489,10,-0.010094562549144393
27,0.1,8,0.005,0.005,0.01,0.04,900.0,0.12,2,10000,9899.054374508556,-100.94562549144393,-0.010094562549144393,-0.03395301310572756,False,-1,24,27400,13544,489,10,-0.010094562549144393
28,0.08,8,0.005,0.005,0.01,0.04,0.0,0.08,2,10000,9891.804004553056,-108.19599544694393,-0.010819599544694393,-0.04019431806685131,False,-1,24,34495,17056,671,10,-0.010819599544694393
29,0.08,8,0.005,0.005,0.01,0.04,0.0,0.1,2,10000,9891.804004553056,-108.19599544694393,-0.010819599544694393,-0.04019431806685131,False,-1,24,34495,17056,671,10,-0.010819599544694393
30,0.08,8,0.005,0.005,0.01,0.04,0.0,0.12,2,10000,9891.804004553056,-108.19599544694393,-0.010819599544694393,-0.04019431806685131,False,-1,24,34495,17056,671,10,-0.010819599544694393
31,0.08,8,0.005,0.005,0.01,0.04,900.0,0.08,2,10000,9891.758024151055,-108.241975848945,-0.0108241975848945,-0.040194500168974814,False,-1,24,34491,17054,669,10,-0.0108241975848945
32,0.08,8,0.005,0.005,0.01,0.04,900.0,0.1,2,10000,9891.758024151055,-108.241975848945,-0.0108241975848945,-0.040194500168974814,False,-1,24,34491,17054,669,10,-0.0108241975848945
33,0.08,8,0.005,0.005,0.01,0.04,900.0,0.12,2,10000,9891.758024151055,-108.241975848945,-0.0108241975848945,-0.040194500168974814,False,-1,24,34491,17054,669,10,-0.0108241975848945
34,0.08,8,0.005,0.005,0.01,0.04,1800.0,0.08,2,10000,9890.700474905057,-109.29952509494251,-0.01092995250949425,-0.04023130442859377,False,-1,24,34399,17008,662,10,-0.01092995250949425
35,0.08,8,0.005,0.005,0.01,0.04,1800.0,0.1,2,10000,9890.700474905057,-109.29952509494251,-0.01092995250949425,-0.04023130442859377,False,-1,24,34399,17008,662,10,-0.01092995250949425
36,0.08,8,0.005,0.005,0.01,0.04,1800.0,0.12,2,10000,9890.700474905057,-109.29952509494251,-0.01092995250949425,-0.04023130442859377,False,-1,24,34399,17008,662,10,-0.01092995250949425
37,0.08,8,0.005,0.005,0.015,0.04,0.0,0.08,2,10000,9880.84849109126,-119.15150890874065,-0.011915150890874065,-0.04046291974159732,False,-1,24,33461,16543,571,10,-0.011915150890874065
38,0.08,8,0.005,0.005,0.015,0.04,0.0,0.1,2,10000,9880.84849109126,-119.15150890874065,-0.011915150890874065,-0.04046291974159732,False,-1,24,33461,16543,571,10,-0.011915150890874065
39,0.08,8,0.005,0.005,0.015,0.04,0.0,0.12,2,10000,9880.84849109126,-119.15150890874065,-0.011915150890874065,-0.04046291974159732,False,-1,24,33461,16543,571,10,-0.011915150890874065
40,0.08,8,0.005,0.005,0.015,0.04,900.0,0.08,2,10000,9880.066824257261,-119.93317574273897,-0.011993317574273897,-0.04046603932095147,False,-1,24,33393,16509,565,10,-0.011993317574273897
41,0.08,8,0.005,0.005,0.015,0.04,900.0,0.1,2,10000,9880.066824257261,-119.93317574273897,-0.011993317574273897,-0.04046603932095147,False,-1,24,33393,16509,565,10,-0.011993317574273897
42,0.08,8,0.005,0.005,0.015,0.04,900.0,0.12,2,10000,9880.066824257261,-119.93317574273897,-0.011993317574273897,-0.04046603932095147,False,-1,24,33393,16509,565,10,-0.011993317574273897
43,0.08,8,0.005,0.005,0.015,0.04,1800.0,0.08,2,10000,9880.066824257261,-119.93317574273897,-0.011993317574273897,-0.04046603932095147,False,-1,24,33393,16509,563,10,-0.011993317574273897
44,0.08,8,0.005,0.005,0.015,0.04,1800.0,0.1,2,10000,9880.066824257261,-119.93317574273897,-0.011993317574273897,-0.04046603932095147,False,-1,24,33393,16509,563,10,-0.011993317574273897
45,0.08,8,0.005,0.005,0.015,0.04,1800.0,0.12,2,10000,9880.066824257261,-119.93317574273897,-0.011993317574273897,-0.04046603932095147,False,-1,24,33393,16509,563,10,-0.011993317574273897
46,0.08,8,0.005,0.005,0.005,0.04,1800.0,0.08,2,10000,9875.26180650783,-124.73819349217047,-0.012473819349217046,-0.0438914804572658,False,-1,24,35486,17542,828,10,-0.012473819349217046
47,0.08,8,0.005,0.005,0.005,0.04,1800.0,0.1,2,10000,9875.26180650783,-124.73819349217047,-0.012473819349217046,-0.0438914804572658,False,-1,24,35486,17542,828,10,-0.012473819349217046
48,0.08,8,0.005,0.005,0.005,0.04,1800.0,0.12,2,10000,9875.26180650783,-124.73819349217047,-0.012473819349217046,-0.0438914804572658,False,-1,24,35486,17542,828,10,-0.012473819349217046
49,0.08,8,0.005,0.005,0.005,0.04,0.0,0.08,2,10000,9857.851806333458,-142.14819366654228,-0.014214819366654228,-0.04526681939586911,False,-1,24,35561,17576,835,10,-0.014214819366654228
50,0.08,8,0.005,0.005,0.005,0.04,0.0,0.1,2,10000,9857.851806333458,-142.14819366654228,-0.014214819366654228,-0.04526681939586911,False,-1,24,35561,17576,835,10,-0.014214819366654228
51,0.08,8,0.005,0.005,0.005,0.04,0.0,0.12,2,10000,9857.851806333458,-142.14819366654228,-0.014214819366654228,-0.04526681939586911,False,-1,24,35561,17576,835,10,-0.014214819366654228
52,0.1,12,0.005,0.005,0.015,0.04,0.0,0.08,2,10000,9856.347855043852,-143.65214495614782,-0.014365214495614783,-0.05138616194881473,False,-1,24,41842,20691,418,10,-0.014365214495614783
53,0.1,12,0.005,0.005,0.015,0.04,0.0,0.1,2,10000,9856.347855043852,-143.65214495614782,-0.014365214495614783,-0.05138616194881473,False,-1,24,41842,20691,418,10,-0.014365214495614783
54,0.1,12,0.005,0.005,0.015,0.04,0.0,0.12,2,10000,9856.347855043852,-143.65214495614782,-0.014365214495614783,-0.05138616194881473,False,-1,24,41842,20691,418,10,-0.014365214495614783
55,0.08,8,0.005,0.005,0.005,0.04,900.0,0.08,2,10000,9855.074437122224,-144.92556287777552,-0.014492556287777552,-0.045505407977837226,False,-1,24,35510,17550,828,10,-0.014492556287777552
56,0.08,8,0.005,0.005,0.005,0.04,900.0,0.1,2,10000,9855.074437122224,-144.92556287777552,-0.014492556287777552,-0.045505407977837226,False,-1,24,35510,17550,828,10,-0.014492556287777552
57,0.08,8,0.005,0.005,0.005,0.04,900.0,0.12,2,10000,9855.074437122224,-144.92556287777552,-0.014492556287777552,-0.045505407977837226,False,-1,24,35510,17550,828,10,-0.014492556287777552
58,0.1,8,0.005,0.008,0.005,0.04,0.0,0.08,2,10000,9851.7351273599,-148.2648726401003,-0.01482648726401003,-0.042222710501457844,False,-1,24,18727,9177,555,10,-0.01482648726401003
59,0.1,8,0.005,0.008,0.005,0.04,0.0,0.1,2,10000,9851.7351273599,-148.2648726401003,-0.01482648726401003,-0.042222710501457844,False,-1,24,18727,9177,555,10,-0.01482648726401003
60,0.1,8,0.005,0.008,0.005,0.04,0.0,0.12,2,10000,9851.7351273599,-148.2648726401003,-0.01482648726401003,-0.042222710501457844,False,-1,24,18727,9177,555,10,-0.01482648726401003
61,0.1,8,0.005,0.008,0.005,0.04,1800.0,0.08,2,10000,9851.5452063519,-148.45479364809944,-0.014845479364809944,-0.04222350254769385,False,-1,24,18717,9172,545,10,-0.014845479364809944
62,0.1,8,0.005,0.008,0.005,0.04,1800.0,0.1,2,10000,9851.5452063519,-148.45479364809944,-0.014845479364809944,-0.04222350254769385,False,-1,24,18717,9172,545,10,-0.014845479364809944
63,0.1,8,0.005,0.008,0.005,0.04,1800.0,0.12,2,10000,9851.5452063519,-148.45479364809944,-0.014845479364809944,-0.04222350254769385,False,-1,24,18717,9172,545,10,-0.014845479364809944
64,0.1,8,0.005,0.008,0.005,0.04,900.0,0.08,2,10000,9851.0514117311,-148.9485882689005,-0.01489485882689005,-0.042225562006982936,False,-1,24,18691,9159,545,10,-0.01489485882689005
65,0.1,8,0.005,0.008,0.005,0.04,900.0,0.1,2,10000,9851.0514117311,-148.9485882689005,-0.01489485882689005,-0.042225562006982936,False,-1,24,18691,9159,545,10,-0.01489485882689005
66,0.1,8,0.005,0.008,0.005,0.04,900.0,0.12,2,10000,9851.0514117311,-148.9485882689005,-0.01489485882689005,-0.042225562006982936,False,-1,24,18691,9159,545,10,-0.01489485882689005
67,0.1,8,0.005,0.008,0.01,0.04,1800.0,0.08,2,10000,9849.430729352836,-150.56927064716365,-0.015056927064716365,-0.0416087477890646,False,-1,24,18288,8958,491,10,-0.015056927064716365
68,0.1,8,0.005,0.008,0.01,0.04,1800.0,0.1,2,10000,9849.430729352836,-150.56927064716365,-0.015056927064716365,-0.0416087477890646,False,-1,24,18288,8958,491,10,-0.015056927064716365
69,0.1,8,0.005,0.008,0.01,0.04,1800.0,0.12,2,10000,9849.430729352836,-150.56927064716365,-0.015056927064716365,-0.0416087477890646,False,-1,24,18288,8958,491,10,-0.015056927064716365
70,0.1,8,0.005,0.008,0.015,0.04,900.0,0.08,2,10000,9849.051227317666,-150.94877268233358,-0.015094877268233359,-0.04109796142058566,False,-1,24,17858,8747,418,10,-0.015094877268233359
71,0.1,8,0.005,0.008,0.015,0.04,900.0,0.1,2,10000,9849.051227317666,-150.94877268233358,-0.015094877268233359,-0.04109796142058566,False,-1,24,17858,8747,418,10,-0.015094877268233359
72,0.1,8,0.005,0.008,0.015,0.04,900.0,0.12,2,10000,9849.051227317666,-150.94877268233358,-0.015094877268233359,-0.04109796142058566,False,-1,24,17858,8747,418,10,-0.015094877268233359
73,0.1,8,0.005,0.008,0.015,0.04,1800.0,0.08,2,10000,9848.937274712865,-151.06272528713453,-0.015106272528713452,-0.04109842437601919,False,-1,24,17852,8744,418,10,-0.015106272528713452
74,0.1,8,0.005,0.008,0.015,0.04,1800.0,0.1,2,10000,9848.937274712865,-151.06272528713453,-0.015106272528713452,-0.04109842437601919,False,-1,24,17852,8744,418,10,-0.015106272528713452
75,0.1,8,0.005,0.008,0.015,0.04,1800.0,0.12,2,10000,9848.937274712865,-151.06272528713453,-0.015106272528713452,-0.04109842437601919,False,-1,24,17852,8744,418,10,-0.015106272528713452
76,0.06,8,0.005,0.005,0.005,0.04,1800.0,0.08,2,10000,9848.922126974358,-151.07787302564248,-0.015107787302564247,-0.05617529958825656,False,-1,24,48051,23767,1321,10,-0.015107787302564247
77,0.06,8,0.005,0.005,0.005,0.04,1800.0,0.1,2,10000,9848.922126974358,-151.07787302564248,-0.015107787302564247,-0.05617529958825656,False,-1,24,48051,23767,1321,10,-0.015107787302564247
78,0.06,8,0.005,0.005,0.005,0.04,1800.0,0.12,2,10000,9848.922126974358,-151.07787302564248,-0.015107787302564247,-0.05617529958825656,False,-1,24,48051,23767,1321,10,-0.015107787302564247
79,0.1,12,0.005,0.005,0.015,0.04,900.0,0.08,2,10000,9848.578544665961,-151.4214553340389,-0.015142145533403891,-0.052040057936861096,False,-1,24,41747,20642,418,10,-0.015142145533403891
80,0.1,12,0.005,0.005,0.015,0.04,900.0,0.1,2,10000,9848.578544665961,-151.4214553340389,-0.015142145533403891,-0.052040057936861096,False,-1,24,41747,20642,418,10,-0.015142145533403891
81,0.1,12,0.005,0.005,0.015,0.04,900.0,0.12,2,10000,9848.578544665961,-151.4214553340389,-0.015142145533403891,-0.052040057936861096,False,-1,24,41747,20642,418,10,-0.015142145533403891
82,0.1,12,0.005,0.005,0.015,0.04,1800.0,0.08,2,10000,9848.463593660961,-151.53640633903888,-0.015153640633903887,-0.052040645451491147,False,-1,24,41737,20637,418,10,-0.015153640633903887
83,0.1,12,0.005,0.005,0.015,0.04,1800.0,0.1,2,10000,9848.463593660961,-151.53640633903888,-0.015153640633903887,-0.052040645451491147,False,-1,24,41737,20637,418,10,-0.015153640633903887
84,0.1,12,0.005,0.005,0.015,0.04,1800.0,0.12,2,10000,9848.463593660961,-151.53640633903888,-0.015153640633903887,-0.052040645451491147,False,-1,24,41737,20637,418,10,-0.015153640633903887
85,0.1,8,0.005,0.008,0.01,0.04,0.0,0.08,2,10000,9848.16283835646,-151.83716164353973,-0.015183716164353973,-0.0418360035959149,False,-1,24,18329,8978,493,10,-0.015183716164353973
86,0.1,8,0.005,0.008,0.01,0.04,0.0,0.1,2,10000,9848.16283835646,-151.83716164353973,-0.015183716164353973,-0.0418360035959149,False,-1,24,18329,8978,493,10,-0.015183716164353973
87,0.1,8,0.005,0.008,0.01,0.04,0.0,0.12,2,10000,9848.16283835646,-151.83716164353973,-0.015183716164353973,-0.0418360035959149,False,-1,24,18329,8978,493,10,-0.015183716164353973
88,0.1,8,0.005,0.008,0.01,0.04,900.0,0.08,2,10000,9847.51710692926,-152.48289307074083,-0.015248289307074083,-0.04183867469385926,False,-1,24,18295,8961,489,10,-0.015248289307074083
89,0.1,8,0.005,0.008,0.01,0.04,900.0,0.1,2,10000,9847.51710692926,-152.48289307074083,-0.015248289307074083,-0.04183867469385926,False,-1,24,18295,8961,489,10,-0.015248289307074083
90,0.1,8,0.005,0.008,0.01,0.04,900.0,0.12,2,10000,9847.51710692926,-152.48289307074083,-0.015248289307074083,-0.04183867469385926,False,-1,24,18295,8961,489,10,-0.015248289307074083
91,0.1,8,0.005,0.008,0.015,0.04,0.0,0.08,2,10000,9845.112472477846,-154.88752752215441,-0.01548875275221544,-0.04151579559213765,False,-1,24,17896,8765,418,10,-0.01548875275221544
92,0.1,8,0.005,0.008,0.015,0.04,0.0,0.1,2,10000,9845.112472477846,-154.88752752215441,-0.01548875275221544,-0.04151579559213765,False,-1,24,17896,8765,418,10,-0.01548875275221544
93,0.1,8,0.005,0.008,0.015,0.04,0.0,0.12,2,10000,9845.112472477846,-154.88752752215441,-0.01548875275221544,-0.04151579559213765,False,-1,24,17896,8765,418,10,-0.01548875275221544
94,0.06,8,0.005,0.005,0.005,0.04,0.0,0.08,2,10000,9841.267593381242,-158.73240661875752,-0.015873240661875752,-0.05676297885744291,False,-1,24,48085,23782,1318,10,-0.015873240661875752
