rank,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,min_grid_move_seconds,portfolio_stop_loss,stage,initial_quote,final_equity,net_pnl_quote,net_pnl_pct,max_drawdown_pct,liquidated,liquidation_step,cooldown_hours,trades,completed_cycles,grid_moves,open_positions,score
1,0.06,8,0.01,0.005,0.005,0.04,0.0,0.08,1,10000,10145.861079105987,145.8610791059873,0.01458610791059873,-0.0102872228523527,False,-1,24,1612,798,50,2,0.01458610791059873
2,0.06,8,0.01,0.005,0.01,0.04,0.0,0.08,1,10000,10135.83701881416,135.83701881415982,0.013583701881415982,-0.009869438775775044,False,-1,24,1571,775,39,2,0.013583701881415982
3,0.06,8,0.01,0.005,0.015,0.04,0.0,0.08,1,10000,10127.177118180074,127.1771181800741,0.01271771181800741,-0.010738226673106071,False,-1,24,1451,716,22,2,0.01271771181800741
4,0.06,8,0.005,0.01,0.005,0.04,0.0,0.08,1,10000,10080.135934634152,80.13593463415236,0.008013593463415236,-0.008876240790902403,False,-1,24,945,459,50,2,0.008013593463415236
5,0.06,8,0.005,0.008,0.005,0.04,0.0,0.08,1,10000,10077.38303723573,77.38303723572972,0.007738303723572972,-0.007163859849133273,False,-1,24,1098,538,50,2,0.007738303723572972
6,0.06,8,0.005,0.005,0.005,0.04,0.0,0.08,1,10000,10072.930539552994,72.93053955299365,0.007293053955299365,-0.005168992560133184,False,-1,24,1612,798,50,2,0.007293053955299365
7,0.06,8,0.005,0.01,0.01,0.04,0.0,0.08,1,10000,10071.247312282307,71.24731228230667,0.007124731228230667,-0.007715978880106574,False,-1,24,867,420,39,2,0.007124731228230667
8,0.06,8,0.005,0.008,0.01,0.04,0.0,0.08,1,10000,10070.826453047952,70.82645304795187,0.007082645304795188,-0.006915979013139435,False,-1,24,1038,507,39,2,0.007082645304795188
9,0.06,8,0.005,0.01,0.015,0.04,0.0,0.08,1,10000,10068.028285420824,68.02828542082352,0.0068028285420823524,-0.007429580177738897,False,-1,24,817,396,22,2,0.0068028285420823524
10,0.06,8,0.005,0.005,0.01,0.04,0.0,0.08,1,10000,10067.91850940708,67.91850940707991,0.006791850940707991,-0.004958333292763993,False,-1,24,1571,775,39,2,0.006791850940707991
11,0.06,8,0.005,0.008,0.015,0.04,0.0,0.08,1,10000,10066.17843802506,66.17843802505922,0.006617843802505922,-0.0067304022315251835,False,-1,24,986,481,22,2,0.006617843802505922
12,0.06,8,0.005,0.005,0.015,0.04,0.0,0.08,1,10000,10063.588559090036,63.58855909003614,0.006358855909003615,-0.005369899469124874,False,-1,24,1451,716,22,2,0.006358855909003615
