rank,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,min_grid_move_seconds,portfolio_stop_loss,stage,initial_quote,final_equity,net_pnl_quote,net_pnl_pct,max_drawdown_pct,liquidated,liquidation_step,cooldown_hours,trades,completed_cycles,grid_moves,open_positions,score
1,0.06,8,0.01,0.005,0.005,0.04,0.0,0.08,2,10000,10145.861079105987,145.8610791059873,0.01458610791059873,-0.0102872228523527,False,-1,24,1612,798,50,2,0.01458610791059873
2,0.06,8,0.01,0.005,0.005,0.04,0.0,0.1,2,10000,10145.861079105987,145.8610791059873,0.01458610791059873,-0.0102872228523527,False,-1,24,1612,798,50,2,0.01458610791059873
3,0.06,8,0.01,0.005,0.005,0.04,0.0,0.12,2,10000,10145.861079105987,145.8610791059873,0.01458610791059873,-0.0102872228523527,False,-1,24,1612,798,50,2,0.01458610791059873
4,0.06,8,0.01,0.005,0.005,0.04,900.0,0.08,2,10000,10145.861079105987,145.8610791059873,0.01458610791059873,-0.0102872228523527,False,-1,24,1612,798,50,2,0.01458610791059873
5,0.06,8,0.01,0.005,0.005,0.04,900.0,0.1,2,10000,10145.861079105987,145.8610791059873,0.01458610791059873,-0.0102872228523527,False,-1,24,1612,798,50,2,0.01458610791059873
6,0.06,8,0.01,0.005,0.005,0.04,900.0,0.12,2,10000,10145.861079105987,145.8610791059873,0.01458610791059873,-0.0102872228523527,False,-1,24,1612,798,50,2,0.01458610791059873
7,0.06,8,0.01,0.005,0.005,0.04,1800.0,0.08,2,10000,10145.861079105987,145.8610791059873,0.01458610791059873,-0.0102872228523527,False,-1,24,1612,798,50,2,0.01458610791059873
8,0.06,8,0.01,0.005,0.005,0.04,1800.0,0.1,2,10000,10145.861079105987,145.8610791059873,0.01458610791059873,-0.0102872228523527,False,-1,24,1612,798,50,2,0.01458610791059873
9,0.06,8,0.01,0.005,0.005,0.04,1800.0,0.12,2,10000,10145.861079105987,145.8610791059873,0.01458610791059873,-0.0102872228523527,False,-1,24,1612,798,50,2,0.01458610791059873
10,0.06,8,0.01,0.005,0.01,0.04,0.0,0.08,2,10000,10135.83701881416,135.83701881415982,0.013583701881415982,-0.009869438775775044,False,-1,24,1571,775,39,2,0.013583701881415982
11,0.06,8,0.01,0.005,0.01,0.04,0.0,0.1,2,10000,10135.83701881416,135.83701881415982,0.013583701881415982,-0.009869438775775044,False,-1,24,1571,775,39,2,0.013583701881415982
12,0.06,8,0.01,0.005,0.01,0.04,0.0,0.12,2,10000,10135.83701881416,135.83701881415982,0.013583701881415982,-0.009869438775775044,False,-1,24,1571,775,39,2,0.013583701881415982
13,0.06,8,0.01,0.005,0.01,0.04,900.0,0.08,2,10000,10135.83701881416,135.83701881415982,0.013583701881415982,-0.009869438775775044,False,-1,24,1571,775,39,2,0.013583701881415982
14,0.06,8,0.01,0.005,0.01,0.04,900.0,0.1,2,10000,10135.83701881416,135.83701881415982,0.013583701881415982,-0.009869438775775044,False,-1,24,1571,775,39,2,0.013583701881415982
15,0.06,8,0.01,0.005,0.01,0.04,900.0,0.12,2,10000,10135.83701881416,135.83701881415982,0.013583701881415982,-0.009869438775775044,False,-1,24,1571,775,39,2,0.013583701881415982
16,0.06,8,0.01,0.005,0.01,0.04,1800.0,0.08,2,10000,10135.83701881416,135.83701881415982,0.013583701881415982,-0.009869438775775044,False,-1,24,1571,775,39,2,0.013583701881415982
17,0.06,8,0.01,0.005,0.01,0.04,1800.0,0.1,2,10000,10135.83701881416,135.83701881415982,0.013583701881415982,-0.009869438775775044,False,-1,24,1571,775,39,2,0.013583701881415982
18,0.06,8,0.01,0.005,0.01,0.04,1800.0,0.12,2,10000,10135.83701881416,135.83701881415982,0.013583701881415982,-0.009869438775775044,False,-1,24,1571,775,39,2,0.013583701881415982
19,0.06,8,0.01,0.005,0.015,0.04,0.0,0.08,2,10000,10127.177118180074,127.1771181800741,0.01271771181800741,-0.010738226673106071,False,-1,24,1451,716,22,2,0.01271771181800741
20,0.06,8,0.01,0.005,0.015,0.04,0.0,0.1,2,10000,10127.177118180074,127.1771181800741,0.01271771181800741,-0.010738226673106071,False,-1,24,1451,716,22,2,0.01271771181800741
21,0.06,8,0.01,0.005,0.015,0.04,0.0,0.12,2,10000,10127.177118180074,127.1771181800741,0.01271771181800741,-0.010738226673106071,False,-1,24,1451,716,22,2,0.01271771181800741
22,0.06,8,0.01,0.005,0.015,0.04,900.0,0.08,2,10000,10127.177118180074,127.1771181800741,0.01271771181800741,-0.010738226673106071,False,-1,24,1451,716,22,2,0.01271771181800741
23,0.06,8,0.01,0.005,0.015,0.04,900.0,0.1,2,10000,10127.177118180074,127.1771181800741,0.01271771181800741,-0.010738226673106071,False,-1,24,1451,716,22,2,0.01271771181800741
24,0.06,8,0.01,0.005,0.015,0.04,900.0,0.12,2,10000,10127.177118180074,127.1771181800741,0.01271771181800741,-0.010738226673106071,False,-1,24,1451,716,22,2,0.01271771181800741
25,0.06,8,0.01,0.005,0.015,0.04,1800.0,0.08,2,10000,10127.177118180074,127.1771181800741,0.01271771181800741,-0.010738226673106071,False,-1,24,1451,716,22,2,0.01271771181800741
