global_step,week_index,timestamp,equity,risk_peak_equity,drawdown_pct,cooldown_active
0,1,1783048500.0,10000.133237822349,10000.133237822349,0.0,False
1,1,1783048800.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
2,1,1783049100.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
3,1,1783049400.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
4,1,1783049700.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
5,1,1783050000.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
6,1,1783050300.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
7,1,1783050600.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
8,1,1783050900.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
9,1,1783051200.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
10,1,1783051500.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
11,1,1783051800.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
12,1,1783052100.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
13,1,1783052400.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
14,1,1783052700.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
15,1,1783053000.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
16,1,1783053300.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
17,1,1783053600.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
18,1,1783053900.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
19,1,1783054200.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
20,1,1783054500.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
21,1,1783054800.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
22,1,1783055100.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
23,1,1783055400.0,10000.129942006,10000.133237822349,-3.295772436172972e-07,False
24,1,1783055700.0,10000.144391247333,10000.144391247333,0.0,False
25,1,1783056000.0,10000.152205425693,10000.152205425693,0.0,False
26,1,1783056300.0,10000.134345605784,10000.152205425693,-1.785954807705116e-06,False
