week_index,train_start,train_end,trade_start,trade_end,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,selection_score,selection_net_pnl_quote,selection_net_pnl_pct,selection_max_drawdown_pct,selection_liquidated,selection_trades,selection_completed_cycles,selection_grid_moves,selection_open_positions
1,2026-05-25 02:41:41,2026-06-24 02:41:41,2026-06-24 02:41:41,2026-07-01 02:41:41,0.04,8,0.01,0.003,0.01,0.04,-0.06393464262631873,-46.08680314006051,-0.004608680314006051,-0.03955064154154179,False,4930,2429,89,3
1,2026-05-25 02:41:41,2026-06-24 02:41:41,2026-06-24 02:41:41,2026-07-01 02:41:41,0.04,8,0.01,0.003,0.015,0.04,-0.05969839481567954,-52.95042703565923,-0.005295042703565923,-0.036268901408075746,False,4460,2196,68,3
1,2026-05-25 02:41:41,2026-06-24 02:41:41,2026-06-24 02:41:41,2026-07-01 02:41:41,0.04,8,0.01,0.005,0.01,0.04,-0.08606224119711531,-74.8826714684401,-0.007488267146844009,-0.05238264936684753,False,3223,1566,89,3
1,2026-05-25 02:41:41,2026-06-24 02:41:41,2026-06-24 02:41:41,2026-07-01 02:41:41,0.04,8,0.01,0.005,0.015,0.04,-0.07482136982943476,-77.03632600840865,-0.007703632600840865,-0.04474515815239593,False,2940,1428,68,3
1,2026-05-25 02:41:41,2026-06-24 02:41:41,2026-06-24 02:41:41,2026-07-01 02:41:41,0.04,8,0.01,0.008,0.01,0.04,-0.11800792258782501,-138.09928157861214,-0.013809928157861213,-0.06946532961997587,False,2141,1013,89,3
1,2026-05-25 02:41:41,2026-06-24 02:41:41,2026-06-24 02:41:41,2026-07-01 02:41:41,0.04,8,0.01,0.008,0.015,0.04,-0.09550615802789057,-114.51438497868912,-0.011451438497868912,-0.056036479686681115,False,1959,928,68,3
1,2026-05-25 02:41:41,2026-06-24 02:41:41,2026-06-24 02:41:41,2026-07-01 02:41:41,0.04,8,0.01,0.01,0.01,0.04,-0.12825613680969855,-150.88619247984025,-0.015088619247984025,-0.07544501170780969,False,1847,862,89,3
1,2026-05-25 02:41:41,2026-06-24 02:41:41,2026-06-24 02:41:41,2026-07-01 02:41:41,0.04,8,0.01,0.01,0.015,0.04,-0.11086221164239256,-133.6292245187069,-0.013362922451870691,-0.06499952612701458,False,1636,763,68,3
1,2026-05-25 02:41:41,2026-06-24 02:41:41,2026-06-24 02:41:41,2026-07-01 02:41:41,0.04,8,0.015,0.003,0.01,0.04,-0.09585404414989687,-69.13020471007258,-0.006913020471007257,-0.05929401578592641,False,4930,2429,89,3
1,2026-05-25 02:41:41,2026-06-24 02:41:41,2026-06-24 02:41:41,2026-07-01 02:41:41,0.04,8,0.015,0.003,0.015,0.04,-0.08949784507880332,-79.42564055347248,-0.007942564055347247,-0.05437018734897072,False,4460,2196,68,3
