rank,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,windows_evaluated,avg_selection_score,median_selection_score,avg_net_pnl_pct,median_net_pnl_pct,compound_net_pnl_pct,avg_max_drawdown_pct,worst_max_drawdown_pct,win_rate,liquidation_count,avg_trades,avg_grid_moves
1,0.04,8,0.01,0.003,0.015,0.04,3,-0.01866949593182989,0.001314860539632759,0.0006821058203326782,0.002569994041051905,0.0020196420980904684,-0.012901067834775045,-0.036268901408075746,0.6666666666666666,0,2176.6666666666665,31.333333333333332
2,0.04,8,0.01,0.003,0.01,0.04,3,-0.020131590556320206,0.0011724080902792628,0.0009860106228973262,0.0027556216728258733,0.0029363557567050336,-0.014078400786145022,-0.03955064154154179,0.6666666666666666,0,2390.6666666666665,43.333333333333336
3,0.04,8,0.01,0.005,0.015,0.04,3,-0.02399733640505916,0.001369233575736077,0.0001977378935196611,0.0029279550890405517,0.0005448965972301156,-0.016130049532385882,-0.04474515815239593,0.6666666666666666,0,1446.3333333333333,31.333333333333332
4,0.04,8,0.01,0.005,0.01,0.04,3,-0.027538593091549768,0.0014637898462421324,0.0005210864067749452,0.003396514439112798,0.0015145424728519874,-0.018706452998883145,-0.05238264936684753,0.6666666666666666,0,1592.0,43.333333333333336
5,0.04,8,0.015,0.003,0.015,0.04,3,-0.027986100750468878,0.0019752578748231248,0.0010231587304997453,0.003854991061578221,0.0030093835788882473,-0.01933950632064575,-0.05437018734897072,0.6666666666666666,0,2176.6666666666665,31.333333333333332
6,0.04,8,0.015,0.003,0.01,0.04,3,-0.030177056239481397,0.001762788855911049,0.0014790159343467772,0.0041334325092389915,0.004388207813807998,-0.02110404811588545,-0.05929401578592641,0.6666666666666666,0,2390.6666666666665,43.333333333333336
7,0.04,8,0.01,0.008,0.015,0.04,3,-0.03104167932892106,0.000772368140856215,-0.0008435852835144641,0.0030235234515324917,-0.0026152844815409138,-0.020132062696937732,-0.056036479686681115,0.6666666666666666,0,967.3333333333334,31.333333333333332
8,0.04,8,0.015,0.005,0.015,0.04,3,-0.035980204496674544,0.0020571394688533064,0.00029660684028058284,0.004391932633561192,0.0007809708457160447,-0.02418454089130341,-0.0670902526375859,0.6666666666666666,0,1446.3333333333333,31.333333333333332
9,0.04,8,0.01,0.01,0.015,0.04,3,-0.036487715670407685,0.0005268198120676948,-0.0014442799263749597,0.0029719275753423064,-0.004435744266801822,-0.023362290496021815,-0.06499952612701458,0.6666666666666666,0,811.6666666666666,31.333333333333332
10,0.04,8,0.01,0.008,0.01,0.04,3,-0.038260533952969904,0.0006845497158906311,-0.0013184139551022476,0.003329876723047346,-0.004069907609223211,-0.02462807999857844,-0.06946532961997587,0.6666666666666666,0,1069.0,43.333333333333336
11,0.04,8,0.015,0.005,0.01,0.04,3,-0.04129145935692617,0.002201963072961619,0.0007816296101625389,0.00509477165866956,0.002235114340356059,-0.028048725978059144,-0.07854755073941157,0.6666666666666666,0,1592.0,43.333333333333336
12,0.04,8,0.01,0.01,0.01,0.04,3,-0.04194821535407233,0.0003705645246812701,-0.001634819773529064,0.0033894033067761484,-0.0050354415550083464,-0.02687559705369551,-0.07544501170780969,0.6666666666666666,0,914.3333333333334,43.333333333333336
