week_index,timestamp,trading_pair,direction,trigger_price,old_lower,old_upper,new_lower,new_upper,move_threshold
1,1782315600.0,BTC-USDT,down,60576.58,61502.007,64012.293000000005,59365.0484,61788.111600000004,0.015
1,1782319500.0,SOL-USDT,down,66.93,68.2374,71.0226,65.59140000000001,68.2686,0.015
1,1782319800.0,ETH-USDT,down,1591.24,1634.0225999999998,1700.7174,1559.4152,1623.0648,0.015
1,1782365100.0,ETH-USDT,up,1647.82,1559.4152,1623.0648,1614.8636,1680.7764,0.015
1,1782368100.0,SOL-USDT,up,69.45,65.59140000000001,68.2686,68.061,70.839,0.015
1,1782394800.0,SOL-USDT,down,66.52,68.061,70.839,65.1896,67.8504,0.015
1,1782395100.0,ETH-USDT,down,1579.24,1614.8636,1680.7764,1547.6552,1610.8248,0.015
1,1782395700.0,BTC-USDT,down,58290.17,59365.0484,61788.111600000004,57124.366599999994,59455.9734,0.015
1,1782439800.0,ETH-USDT,down,1522.68,1547.6552,1610.8248,1492.2264,1553.1336000000001,0.015
1,1782454800.0,SOL-USDT,up,69.23,65.1896,67.8504,67.8454,70.61460000000001,0.015
1,1782456000.0,BTC-USDT,up,60390.93,57124.366599999994,59455.9734,59183.1114,61598.7486,0.015
1,1782457800.0,ETH-USDT,up,1577.57,1492.2264,1553.1336000000001,1546.0185999999999,1609.1214,0.015
1,1782483900.0,SOL-USDT,up,71.71,67.8454,70.61460000000001,70.27579999999999,73.1442,0.015
1,1782738900.0,SOL-USDT,up,74.27,70.27579999999999,73.1442,72.7846,75.7554,0.015
1,1782867900.0,BTC-USDT,down,58293.53,59183.1114,61598.7486,57127.6594,59459.4006,0.015
2,1782919200.0,SOL-USDT,up,77.48,73.255,76.245,75.9304,79.0296,0.015
2,1782984900.0,ETH-USDT,up,1650.02,1553.79,1617.21,1617.0195999999999,1683.0204,0.015
2,1782985800.0,BTC-USDT,up,61307.35,57898.7626,60261.9774,60081.202999999994,62533.497,0.015
2,1782987900.0,SOL-USDT,up,80.25,75.9304,79.0296,78.645,81.855,0.015
2,1782999600.0,ETH-USDT,up,1710.49,1617.0195999999999,1683.0204,1676.2802,1744.6998,0.015
2,1783139400.0,SOL-USDT,up,83.3,78.645,81.855,81.634,84.966,0.015
2,1783174200.0,ETH-USDT,up,1770.95,1676.2802,1744.6998,1735.531,1806.3690000000001,0.015
2,1783219200.0,SOL-USDT,down,80.27,81.634,84.966,78.6646,81.8754,0.015
2,1783290000.0,BTC-USDT,up,63554.81,60081.202999999994,62533.497,62283.7138,64825.9062,0.015
2,1783371900.0,SOL-USDT,up,83.27,78.6646,81.8754,81.60459999999999,84.9354,0.015
2,1783471500.0,SOL-USDT,down,80.38,81.60459999999999,84.9354,78.77239999999999,81.9876,0.015
3,1783523400.0,SOL-USDT,down,76.73,77.5376,80.70240000000001,75.1954,78.2646,0.01
