global_step,week_index,timestamp,equity,risk_peak_equity,drawdown_pct,cooldown_active
0,1,1783048500.0,10000.0,10000.0,0.0,False
1,1,1783048800.0,10000.0,10000.0,0.0,False
2,1,1783049100.0,10000.0,10000.0,0.0,False
3,1,1783049400.0,10000.0,10000.0,0.0,False
4,1,1783049700.0,10000.0,10000.0,0.0,False
5,1,1783050000.0,10000.0,10000.0,0.0,False
6,1,1783050300.0,10000.0,10000.0,0.0,False
7,1,1783050600.0,10000.0,10000.0,0.0,False
8,1,1783050900.0,10000.0,10000.0,0.0,False
9,1,1783051200.0,10000.0,10000.0,0.0,False
10,1,1783051500.0,10000.0,10000.0,0.0,False
11,1,1783051800.0,10000.0,10000.0,0.0,False
12,1,1783052100.0,10000.0,10000.0,0.0,False
13,1,1783052400.0,10000.0,10000.0,0.0,False
14,1,1783052700.0,10000.0,10000.0,0.0,False
15,1,1783053000.0,10000.0,10000.0,0.0,False
16,1,1783053300.0,10000.0,10000.0,0.0,False
17,1,1783053600.0,10000.0,10000.0,0.0,False
18,1,1783053900.0,10000.0,10000.0,0.0,False
19,1,1783054200.0,10000.0,10000.0,0.0,False
20,1,1783054500.0,10000.0,10000.0,0.0,False
21,1,1783054800.0,10000.0,10000.0,0.0,False
22,1,1783055100.0,10000.0,10000.0,0.0,False
23,1,1783055400.0,10000.0,10000.0,0.0,False
24,1,1783055700.0,10000.0,10000.0,0.0,False
25,1,1783056000.0,10000.0,10000.0,0.0,False
26,1,1783056300.0,10000.0,10000.0,0.0,False
27,1,1783056600.0,10000.089789766822,10000.089789766822,0.0,False
28,1,1783056900.0,10000.057134796953,10000.089789766822,-3.2654676663746703e-06,False
29,1,1783057200.0,10000.036205027682,10000.089789766822,-5.358425800840259e-06,False
30,1,1783057500.0,10000.12716104664,10000.12716104664,0.0,False
31,1,1783057800.0,10000.113798928214,10000.12716104664,-1.3361948513057436e-06,False
32,1,1783058100.0,10000.020533610192,10000.12716104664,-1.0662608057912427e-05,False
33,1,1783058400.0,10000.217782857893,10000.217782857893,0.0,False
34,1,1783058700.0,10000.2530804456,10000.2530804456,0.0,False
35,1,1783059000.0,10000.110404098132,10000.2530804456,-1.426727367003178e-05,False
36,1,1783059300.0,10000.125078510991,10000.2530804456,-1.2799869521193716e-05,False
37,1,1783059600.0,10000.088687209729,10000.2530804456,-1.643890755050546e-05,False
38,1,1783059900.0,10000.088777137886,10000.2530804456,-1.642991496241629e-05,False
39,1,1783060200.0,10000.116020133959,10000.2530804456,-1.3705684300041763e-05,False
40,1,1783060500.0,9999.915828101472,10000.2530804456,-3.3724380914715166e-05,False
41,1,1783060800.0,9999.968748687497,10000.2530804456,-2.8432456240408563e-05,False
42,1,1783061100.0,10000.024748038839,10000.2530804456,-2.283266282607007e-05,False
43,1,1783061400.0,10000.148430641939,10000.2530804456,-1.0464715524636394e-05,False
44,1,1783061700.0,10000.06062735025,10000.2530804456,-1.9244822486101464e-05,False
45,1,1783062000.0,9999.966041486874,10000.2530804456,-2.8703169451512842e-05,False
46,1,1783062300.0,10000.095680852155,10000.2530804456,-1.5739561006989358e-05,False
47,1,1783062600.0,10000.05411273959,10000.2530804456,-1.989626706539456e-05,False
48,1,1783062900.0,10000.116562027637,10000.2530804456,-1.365149630363211e-05,False
49,1,1783063200.0,10000.156282710064,10000.2530804456,-9.679528583639447e-06,False
50,1,1783063500.0,10000.152603610857,10000.2530804456,-1.0047429193509157e-05,False
51,1,1783063800.0,10000.152198563843,10000.2530804456,-1.0087932869868601e-05,False
52,1,1783064100.0,10000.108296137338,10000.2530804456,-1.4478064414739413e-05,False
53,1,1783064400.0,10000.212913074087,10000.2530804456,-4.0166354981333006e-06,False
54,1,1783064700.0,10000.257706827397,10000.257706827397,0.0,False
55,1,1783065000.0,10000.248867350345,10000.257706827397,-8.839249258390635e-07,False
56,1,1783065300.0,10000.14416882753,10000.257706827397,-1.135350739904497e-05,False
57,1,1783065600.0,10000.144468880513,10000.257706827397,-1.132350287396e-05,False
58,1,1783065900.0,10000.160974369828,10000.257706827397,-9.672996477134441e-06,False
59,1,1783066200.0,10000.145676078348,10000.257706827397,-1.1202786201466413e-05,False
60,1,1783066500.0,10000.118498405829,10000.257706827397,-1.3920483416405614e-05,False
61,1,1783066800.0,10000.128911323383,10000.257706827397,-1.2879218495085885e-05,False
62,1,1783067100.0,10000.288419952623,10000.288419952623,0.0,False
63,1,1783067400.0,10000.270958496738,10000.288419952623,-1.7460952276792682e-06,False
64,1,1783067700.0,10000.265205534473,10000.288419952623,-2.3213748619191206e-06,False
65,1,1783068000.0,10000.446207462157,10000.446207462157,0.0,False
66,1,1783068300.0,10000.203409043907,10000.446207462157,-2.427875848872492e-05,False
67,1,1783068600.0,9999.862681422514,10000.446207462157,-5.8350000343783204e-05,False
68,1,1783068900.0,9999.876438802032,10000.446207462157,-5.697432377567716e-05,False
69,1,1783069200.0,9999.982479601578,10000.446207462157,-4.637071696187948e-05,False
70,1,1783069500.0,10000.119778861415,10000.446207462157,-3.264140359037076e-05,False
71,1,1783069800.0,10000.223237774859,10000.446207462157,-2.229597386683304e-05,False
72,1,1783070100.0,10000.148398744599,10000.446207462157,-2.977954297036346e-05,False
73,1,1783070400.0,10000.205989470238,10000.446207462157,-2.4020727369125448e-05,False
74,1,1783070700.0,10000.142330602463,10000.446207462157,-3.0386330108711345e-05,False
75,1,1783071000.0,10000.004449562455,10000.446207462157,-4.417381890141442e-05,False
76,1,1783071300.0,9999.927348972175,10000.446207462157,-5.188353391624526e-05,False
77,1,1783071600.0,10000.033828817745,10000.446207462157,-4.123602445906329e-05,False
78,1,1783071900.0,10000.24282158401,10000.446207462157,-2.03376803322219e-05,False
79,1,1783072200.0,10000.209122984801,10000.446207462157,-2.3707389894161385e-05,False
80,1,1783072500.0,10000.170399338665,10000.446207462157,-2.7579581727634526e-05,False
81,1,1783072800.0,10000.287515376556,10000.446207462157,-1.5868500495737104e-05,False
82,1,1783073100.0,10000.24209557291,10000.446207462157,-2.0410278202819413e-05,False
83,1,1783073400.0,10000.473311360245,10000.473311360245,0.0,False
84,1,1783073700.0,10000.437667302496,10000.473311360245,-3.5642370754969924e-06,False
85,1,1783074000.0,10000.476949501168,10000.476949501168,0.0,False
86,1,1783074300.0,10000.4911374405,10000.4911374405,0.0,False
87,1,1783074600.0,10000.500860757003,10000.500860757003,0.0,False
88,1,1783074900.0,10000.560821208772,10000.560821208772,0.0,False
89,1,1783075200.0,10000.804054735654,10000.804054735654,0.0,False
90,1,1783075500.0,10000.796310182206,10000.804054735654,-7.74393079356936e-07,False
91,1,1783075800.0,10000.78856562876,10000.804054735654,-1.5487861585319878e-06,False
92,1,1783076100.0,10000.65748189079,10000.804054735654,-1.4656106055236018e-05,False
93,1,1783076400.0,10000.676699856751,10000.804054735654,-1.2734463969707294e-05,False
94,1,1783076700.0,10000.707104399911,10000.804054735654,-9.694254103188358e-06,False
95,1,1783077000.0,10000.675552515499,10000.804054735654,-1.2849188870433602e-05,False
96,1,1783077300.0,10000.679855045191,10000.804054735654,-1.2418970493073712e-05,False
97,1,1783077600.0,10000.823559536926,10000.823559536926,0.0,False
98,1,1783077900.0,10000.668094797365,10000.823559536926,-1.5545193716801824e-05,False
99,1,1783078200.0,10000.686452257387,10000.823559536926,-1.3709598886821215e-05,False
100,1,1783078500.0,10000.639984936706,10000.823559536926,-1.8355948300351723e-05,False
101,1,1783078800.0,10000.59409128665,10000.823559536926,-2.294493537557607e-05,False
102,1,1783079100.0,10000.678420868628,10000.823559536926,-1.4512671624926363e-05,False
103,1,1783079400.0,10000.68071555113,10000.823559536926,-1.4283222271156052e-05,False
104,1,1783079700.0,10000.668381632677,10000.823559536926,-1.5516512547739682e-05,False
105,1,1783080000.0,10000.717717306487,10000.823559536926,-1.0583351441950813e-05,False
106,1,1783080300.0,10000.657195055477,10000.823559536926,-1.663507814716533e-05,False
107,1,1783080600.0,10000.610727734795,10000.823559536926,-2.1281427560877723e-05,False
108,1,1783080900.0,10000.38412783765,10000.823559536926,-4.393955124401355e-05,False
109,1,1783081200.0,10000.464154889933,10000.823559536926,-3.5937505031842326e-05,False
110,1,1783081500.0,10000.435184523336,10000.823559536926,-3.883430312294242e-05,False
111,1,1783081800.0,10000.46587590181,10000.823559536926,-3.576541801656006e-05,False
112,1,1783082100.0,10000.37810429608,10000.823559536926,-4.454185579759241e-05,False
113,1,1783082400.0,10000.410803521743,10000.823559536926,-4.127220250668377e-05,False
114,1,1783082700.0,10000.449239453665,10000.823559536926,-3.742892583125841e-05,False
115,1,1783083000.0,10000.470178431502,10000.823559536926,-3.5335200478263466e-05,False
116,1,1783083300.0,10000.493412091842,10000.823559536926,-3.301202577149821e-05,False
117,1,1783083600.0,10000.52037461125,10000.823559536926,-3.0315995864924406e-05,False
118,1,1783083900.0,10000.510048539987,10000.823559536926,-3.1348517956799865e-05,False
119,1,1783084200.0,10000.547910801284,10000.823559536926,-2.756260361968067e-05,False
120,1,1783084500.0,10000.573439144126,10000.823559536926,-2.5009979559326987e-05,False
121,1,1783084800.0,10000.632527218571,10000.823559536926,-1.9101658700150708e-05,False
122,1,1783085100.0,10000.734353754633,10000.823559536926,-8.919843627070585e-06,False
123,1,1783085400.0,10000.750129696838,10000.823559536926,-7.342379320104313e-06,False
124,1,1783085700.0,10000.732919578068,10000.823559536926,-9.063249473290707e-06,False
125,1,1783086000.0,10000.919632639536,10000.919632639536,0.0,False
126,1,1783086300.0,10000.919632639536,10000.919632639536,0.0,False
127,1,1783086600.0,10000.919632639536,10000.919632639536,0.0,False
128,1,1783086900.0,10000.919632639536,10000.919632639536,0.0,False
129,1,1783087200.0,10000.953946670568,10000.953946670568,0.0,False
130,1,1783087500.0,10000.930712515474,10000.953946670568,-2.323193889146644e-06,False
