rank,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,windows_evaluated,avg_selection_score,median_selection_score,avg_net_pnl_pct,median_net_pnl_pct,compound_net_pnl_pct,avg_max_drawdown_pct,worst_max_drawdown_pct,win_rate,liquidation_count,avg_trades,avg_grid_moves
1,0.1,8,0.005,0.005,0.005,0.04,22,-0.0030626692649668536,-0.0003458969632962451,-0.00011999621267235524,0.0005381605091391065,-0.002704811880674063,-0.0019617820348629997,-0.024420509483880058,0.8636363636363636,0,1255.2727272727273,23.40909090909091
2,0.1,8,0.005,0.005,0.01,0.04,22,-0.003145014868372853,-0.0003469692452116802,-0.00014215518350754958,0.0005250844426554976,-0.0031899912161610366,-0.0020019064565768695,-0.02439165506646561,0.8181818181818182,0,1231.8181818181818,18.954545454545453
3,0.1,8,0.005,0.005,0.015,0.04,22,-0.003286018818415731,-0.0004910010811600566,-0.00020764851587275017,0.0004808640676048526,-0.0046291116222730855,-0.0020522468683619867,-0.02508023887481326,0.8181818181818182,0,1199.8181818181818,16.90909090909091
4,0.08,8,0.005,0.005,0.015,0.04,22,-0.003958782999150274,-0.0006321707627986479,-0.00023610313017252346,0.0005814042506540318,-0.005281175113702075,-0.0024817865793185013,-0.03006386735307166,0.8181818181818182,0,1484.7272727272727,24.09090909090909
5,0.08,8,0.005,0.005,0.01,0.04,22,-0.0039826088187748625,-0.0005968820848100069,-0.0001955901503123559,0.0007122363224344553,-0.004390398627871828,-0.0025246791123083377,-0.030245052924042944,0.8181818181818182,0,1526.090909090909,28.863636363636363
6,0.1,8,0.005,0.008,0.005,0.04,22,-0.004093974655460988,-0.0006941973585401686,-0.0003356760330711288,0.0005357803926551242,-0.0074578114637561255,-0.0025055324149265723,-0.030646012600752285,0.7727272727272727,0,828.6363636363636,23.40909090909091
7,0.08,8,0.005,0.005,0.005,0.04,22,-0.004183362794421973,-0.0004132142254671063,-0.000256617589249816,0.000674496447510046,-0.005747763543025086,-0.0026178301367814375,-0.03247899375776808,0.8181818181818182,0,1553.0454545454545,35.0
8,0.1,8,0.005,0.008,0.01,0.04,22,-0.004209702210293914,-0.0006675141914268014,-0.00035266140003302335,0.0005189993064819646,-0.00783319011698036,-0.002571360540173928,-0.03204601691813768,0.7727272727272727,0,810.5,18.954545454545453
9,0.1,8,0.005,0.008,0.015,0.04,22,-0.004210073226713523,-0.0006840696279983302,-0.00037886250480446103,0.0004861418330566266,-0.008402741628200872,-0.0025541404812727073,-0.0315262941369693,0.7727272727272727,0,788.6818181818181,16.90909090909091
10,0.1,12,0.005,0.005,0.015,0.04,22,-0.004893513105948759,-0.0006069325738480507,-0.0002861136409080244,0.0007719385127981696,-0.006428222624598967,-0.00307159964336049,-0.03647327941492284,0.8181818181818182,0,1846.7727272727273,16.90909090909091
