week_index,train_start,train_end,trade_start,trade_end,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,selection_score,selection_net_pnl_quote,selection_net_pnl_pct,selection_max_drawdown_pct,selection_liquidated,selection_grid_moves,selection_trades,selection_open_positions
1,2026-01-08 03:15:00,2026-02-07 03:15:00,2026-02-07 03:15:00,2026-02-14 03:15:00,0.06,8,0.005,0.005,0.005,0.04,-0.0784089255212423,-160.05714208059726,-0.016005714208059726,-0.04160214087545505,False,337,11491,10
1,2026-01-08 03:15:00,2026-02-07 03:15:00,2026-02-07 03:15:00,2026-02-14 03:15:00,0.06,8,0.005,0.005,0.015,0.04,-0.07427896162538497,-151.56086718777988,-0.015156086718777988,-0.039415249937737984,False,230,10389,10
1,2026-01-08 03:15:00,2026-02-07 03:15:00,2026-02-07 03:15:00,2026-02-14 03:15:00,0.06,8,0.005,0.005,0.01,0.04,-0.08131589544942718,-171.352353757753,-0.017135235375775302,-0.042787106715767916,False,265,11221,10
1,2026-01-08 03:15:00,2026-02-07 03:15:00,2026-02-07 03:15:00,2026-02-14 03:15:00,0.06,12,0.005,0.005,0.005,0.04,-0.11885799976700762,-234.65443642839637,-0.023465443642839638,-0.06359503741611199,False,337,17679,10
1,2026-01-08 03:15:00,2026-02-07 03:15:00,2026-02-07 03:15:00,2026-02-14 03:15:00,0.06,8,0.005,0.008,0.015,0.04,-0.09450059359447326,-188.33898262039293,-0.01883389826203929,-0.05044446355495597,False,230,7201,10
2,2026-02-07 03:15:00,2026-02-14 03:15:00,2026-02-14 03:15:00,2026-02-21 03:15:00,0.06,8,0.005,0.005,0.005,0.04,0.00022493867228574275,25.83007216524311,0.002583007216524311,-0.0015720456961590456,False,53,2632,10
2,2026-02-07 03:15:00,2026-02-14 03:15:00,2026-02-14 03:15:00,2026-02-21 03:15:00,0.06,8,0.005,0.005,0.015,0.04,0.00017319978470317502,23.46333210884586,0.002346333210884586,-0.001448755617454274,False,22,2390,10
2,2026-02-07 03:15:00,2026-02-14 03:15:00,2026-02-14 03:15:00,2026-02-21 03:15:00,0.06,8,0.005,0.005,0.01,0.04,0.00037534713352556457,25.401650977673853,0.0025401650977673854,-0.001443211976161214,False,41,2586,10
2,2026-02-07 03:15:00,2026-02-14 03:15:00,2026-02-14 03:15:00,2026-02-21 03:15:00,0.06,12,0.005,0.005,0.005,0.04,0.0005264066976064683,40.15994079778466,0.004015994079778465,-0.0023263915881146647,False,53,4042,10
2,2026-02-07 03:15:00,2026-02-14 03:15:00,2026-02-14 03:15:00,2026-02-21 03:15:00,0.06,8,0.005,0.008,0.015,0.04,-0.0006214570701829772,22.975515882122636,0.0022975515882122637,-0.001946005772263494,False,22,1476,10
3,2026-02-14 03:15:00,2026-02-21 03:15:00,2026-02-21 03:15:00,2026-02-28 03:15:00,0.06,8,0.005,0.005,0.005,0.04,-0.0007026468481841042,14.01622542725272,0.001401622542725272,-0.001402846260606251,False,46,2098,10
3,2026-02-14 03:15:00,2026-02-21 03:15:00,2026-02-21 03:15:00,2026-02-28 03:15:00,0.06,8,0.005,0.005,0.015,0.04,-0.0005684851181936592,12.844762628956232,0.0012844762628956231,-0.0012353075873928548,False,32,1916,10
3,2026-02-14 03:15:00,2026-02-21 03:15:00,2026-02-21 03:15:00,2026-02-28 03:15:00,0.06,8,0.005,0.005,0.01,0.04,-0.000942215977206597,12.927432732603847,0.0012927432732603846,-0.0014899728336446544,False,34,2091,10
3,2026-02-14 03:15:00,2026-02-21 03:15:00,2026-02-21 03:15:00,2026-02-28 03:15:00,0.06,12,0.005,0.005,0.005,0.04,-0.0010900343635553704,21.087447288331532,0.002108744728833153,-0.0021325193949256823,False,46,3252,10
3,2026-02-14 03:15:00,2026-02-21 03:15:00,2026-02-21 03:15:00,2026-02-28 03:15:00,0.06,8,0.005,0.008,0.015,0.04,-0.0018257655055874534,9.575010553297034,0.0009575010553297034,-0.001855511040611438,False,32,1247,10
4,2026-02-21 03:15:00,2026-02-28 03:15:00,2026-02-28 03:15:00,2026-03-07 03:15:00,0.06,8,0.005,0.005,0.005,0.04,-0.0017959625883178158,9.057077826169916,0.0009057077826169916,-0.001801113580623205,False,76,2088,10
