global_step,week_index,timestamp,equity,risk_peak_equity,drawdown_pct,cooldown_active
0,1,1770434100.0,10000.0,10000.0,0.0,False
1,1,1770434400.0,10000.0,10000.0,0.0,False
2,1,1770434700.0,10000.01550214047,10000.01550214047,0.0,False
3,1,1770435000.0,9999.998273703131,10000.01550214047,-1.7228410630693113e-06,False
4,1,1770435300.0,10000.005029953069,10000.01550214047,-1.0472171167212542e-06,False
5,1,1770435600.0,9999.998949328125,10000.01550214047,-1.655278668489075e-06,False
6,1,1770435900.0,9999.9695596409,10000.01550214047,-4.594242834912129e-06,False
7,1,1770436200.0,9999.98144378371,10000.01550214047,-3.4058303961826434e-06,False
8,1,1770436500.0,9999.977970951128,10000.01550214047,-3.753113116090274e-06,False
9,1,1770436800.0,10000.00254401048,10000.01550214047,-1.2958109901939636e-06,False
10,1,1770437100.0,10000.007856226577,10000.01550214047,-7.645902039917339e-07,False
11,1,1770437400.0,10000.102915501013,10000.102915501013,0.0,False
12,1,1770437700.0,10000.103920236059,10000.103920236059,0.0,False
13,1,1770438000.0,10000.181301570388,10000.181301570388,0.0,False
14,1,1770438300.0,10000.094416294369,10000.181301570388,-8.688370080438986e-06,False
15,1,1770438600.0,10000.123672231184,10000.181301570388,-5.762829439411346e-06,False
16,1,1770438900.0,9999.991021866634,10000.181301570388,-1.9027625401627457e-05,False
17,1,1770439200.0,9999.888659854638,10000.181301570388,-2.9263641020643336e-05,False
18,1,1770439500.0,9999.946275935099,10000.181301570388,-2.3502137431485184e-05,False
19,1,1770439800.0,9999.97127344803,10000.181301570388,-2.1002431458366576e-05,False
20,1,1770440100.0,10000.057540186772,10000.181301570388,-1.2375913984387065e-05,False
21,1,1770440400.0,10000.079644375415,10000.181301570388,-1.016553519455914e-05,False
22,1,1770440700.0,10000.228196866752,10000.228196866752,0.0,False
23,1,1770441000.0,10000.19205042246,10000.228196866752,-3.614561946046074e-06,False
24,1,1770441300.0,10000.260915862424,10000.260915862424,0.0,False
25,1,1770441600.0,10000.32837090471,10000.32837090471,0.0,False
26,1,1770441900.0,10000.03120930364,10000.32837090471,-2.9715184346894367e-05,False
27,1,1770442200.0,10000.065297369967,10000.32837090471,-2.630648964571389e-05,False
28,1,1770442500.0,10000.029576560095,10000.32837090471,-2.9878453340033476e-05,False
29,1,1770442800.0,10000.052004887308,10000.32837090471,-2.7635694264439645e-05,False
30,1,1770443100.0,10000.108729124551,10000.32837090471,-2.196345679986014e-05,False
31,1,1770443400.0,9999.919890529814,10000.32837090471,-4.084669620290026e-05,False
32,1,1770443700.0,10000.110075543067,10000.32837090471,-2.182881936937935e-05,False
33,1,1770444000.0,10000.187088529246,10000.32837090471,-1.4127773631375216e-05,False
34,1,1770444300.0,10000.266334591208,10000.32837090471,-6.203427647702722e-06,False
35,1,1770444600.0,10000.263295946095,10000.32837090471,-6.507282181264967e-06,False
36,1,1770444900.0,10000.042738996613,10000.32837090471,-2.856225290837196e-05,False
37,1,1770445200.0,10000.171203944596,10000.32837090471,-1.5716179937818467e-05,False
38,1,1770445500.0,10000.264853609118,10000.32837090471,-6.351520993704192e-06,False
39,1,1770445800.0,10000.278710806673,10000.32837090471,-4.965846739725189e-06,False
40,1,1770446100.0,10000.343583533588,10000.343583533588,0.0,False
41,1,1770446400.0,10000.156016961191,10000.343583533588,-1.875601281393044e-05,False
42,1,1770446700.0,10000.016797190767,10000.343583533588,-3.267751153660413e-05,False
43,1,1770447000.0,9999.646709085788,10000.343583533588,-6.968505051640334e-05,False
44,1,1770447300.0,9999.003570953215,10000.343583533588,-0.000133996654132887,False
45,1,1770447600.0,9999.12176602724,10000.343583533588,-0.00012217755281527672,False
46,1,1770447900.0,9998.689302880819,10000.343583533588,-0.0001654223816362231,False
47,1,1770448200.0,9998.181245281776,10000.343583533588,-0.00021622639599826968,False
48,1,1770448500.0,9997.983888295163,10000.343583533588,-0.00023596141659677425,False
49,1,1770448800.0,9998.15149638925,10000.343583533588,-0.00021920118304210386,False
50,1,1770449100.0,9998.484511976481,10000.343583533588,-0.00018590076846633637,False
51,1,1770449400.0,9998.03197476946,10000.343583533588,-0.000231152934378633,False
52,1,1770449700.0,9998.396413404129,10000.343583533588,-0.00019471032301979454,False
53,1,1770450000.0,9999.035691440098,10000.343583533588,-0.00013078471580147053,False
54,1,1770450300.0,9998.812040387158,10000.343583533588,-0.00015314905269369223,False
55,1,1770450600.0,9998.802048243486,10000.343583533588,-0.00015414823273073218,False
56,1,1770450900.0,9998.581307486142,10000.343583533588,-0.0001762215500623129,False
57,1,1770451200.0,9998.587030856499,10000.343583533588,-0.0001756492326904581,False
58,1,1770451500.0,9998.512582314746,10000.343583533588,-0.00018309383108158046,False
59,1,1770451800.0,9998.685049316668,10000.343583533588,-0.00016584772343732326,False
60,1,1770452100.0,9998.59336044472,10000.343583533588,-0.00017501629561503593,False
61,1,1770452400.0,9998.909269729516,10000.343583533588,-0.00014342645251039167,False
62,1,1770452700.0,9998.697259916471,10000.343583533588,-0.00016462670540914827,False
63,1,1770453000.0,9998.810574182036,10000.343583533588,-0.0001532956681683947,False
64,1,1770453300.0,9998.575969995882,10000.343583533588,-0.00017675528075020432,False
65,1,1770453600.0,9998.723021430595,10000.343583533588,-0.00016205064250606903,False
66,1,1770453900.0,9998.950846492193,10000.343583533588,-0.0001392689190887527,False
67,1,1770454200.0,9999.055605611531,10000.343583533588,-0.00012879336707764347,False
68,1,1770454500.0,9998.88704191083,10000.343583533588,-0.00014564915801054947,False
69,1,1770454800.0,9998.918605278603,10000.343583533588,-0.00014249292967607457,False
70,1,1770455100.0,9999.001998282545,10000.343583533588,-0.00013415391579660543,False
71,1,1770455400.0,9999.253510375484,10000.343583533588,-0.0001090035706272163,False
72,1,1770455700.0,9998.972616498319,10000.343583533588,-0.0001370919932717657,False
73,1,1770456000.0,9999.043693866994,10000.343583533588,-0.00012998450060599967,False
74,1,1770456300.0,9998.622439292896,10000.343583533588,-0.0001721085107041233,False
75,1,1770456600.0,9998.295140332164,10000.343583533588,-0.00020483728227063986,False
76,1,1770456900.0,9998.089970045687,10000.343583533588,-0.00022535360601127604,False
77,1,1770457200.0,9998.247803798691,10000.343583533588,-0.00020957077298297777,False
78,1,1770457500.0,9998.076360703088,10000.343583533588,-0.00022671449351332348,False
79,1,1770457800.0,9998.247923225523,10000.343583533588,-0.00020955883071013576,False
80,1,1770458100.0,9998.353803616377,10000.343583533588,-0.00019897115539977445,False
81,1,1770458400.0,9998.499873862102,10000.343583533588,-0.00018436463268341012,False
82,1,1770458700.0,9998.29577021649,10000.343583533588,-0.00020477429600219808,False
83,1,1770459000.0,9998.205771718855,10000.343583533588,-0.0002137738365562988,False
84,1,1770459300.0,9998.0640489382,10000.343583533588,-0.0002279456277023072,False
85,1,1770459600.0,9998.25254550015,10000.343583533588,-0.00020909661912818826,False
86,1,1770459900.0,9998.141093242317,10000.343583533588,-0.00022024146199310516,False
87,1,1770460200.0,9997.76501021934,10000.343583533588,-0.0002578484721758278,False
88,1,1770460500.0,9997.45651462634,10000.343583533588,-0.00028869697157226206,False
89,1,1770460800.0,9997.774919396474,10000.343583533588,-0.0002568575885076068,False
90,1,1770461100.0,9997.726429168017,10000.343583533588,-0.00026170644475459167,False
91,1,1770461400.0,9998.043979763015,10000.343583533588,-0.00022995247626881492,False
92,1,1770461700.0,9998.110401601465,10000.343583533588,-0.00022331052063047683,False
93,1,1770462000.0,9998.229765643115,10000.343583533588,-0.0002113745265666253,False
94,1,1770462300.0,9998.23033923279,10000.343583533588,-0.00021131716956974766,False
95,1,1770462600.0,9997.95124991729,10000.343583533588,-0.00023922514224773407,False
96,1,1770462900.0,9998.143330952813,10000.343583533588,-0.00022001769863164112,False
97,1,1770463200.0,9997.841416238678,10000.343583533588,-0.0002502081327515285,False
98,1,1770463500.0,9997.881129542626,10000.343583533588,-0.0002462369388004343,False
99,1,1770463800.0,9998.071377095266,10000.343583533588,-0.00022721283717320459,False
100,1,1770464100.0,9997.857736630689,10000.343583533588,-0.0002485761496226776,False
101,1,1770464400.0,9997.828608224996,10000.343583533588,-0.0002514888901150078,False
102,1,1770464700.0,9997.89885160233,10000.343583533588,-0.0002444647937180839,False
103,1,1770465000.0,9997.975968154064,10000.343583533588,-0.00023675340349531062,False
104,1,1770465300.0,9998.277291772423,10000.343583533588,-0.00020662207692210874,False
105,1,1770465600.0,9998.978018665808,10000.343583533588,-0.00013655179508312672,False
106,1,1770465900.0,9999.711657385638,10000.343583533588,-6.319044367534165e-05,False
107,1,1770466200.0,9999.798280461559,10000.343583533588,-5.452843369571979e-05,False
108,1,1770466500.0,10001.133806987094,10001.133806987094,0.0,False
109,1,1770466800.0,10000.345936101907,10001.133806987094,-7.877815659632787e-05,False
110,1,1770467100.0,10000.370434682529,10001.133806987094,-7.632857626924752e-05,False
111,1,1770467400.0,10000.715550433903,10001.133806987094,-4.182091363478096e-05,False
112,1,1770467700.0,10000.301530236009,10001.133806987094,-8.321823976636728e-05,False
113,1,1770468000.0,10000.09588930328,10001.133806987094,-0.00010378000173230728,False
114,1,1770468300.0,10000.370951942683,10001.133806987094,-7.627685611790607e-05,False
115,1,1770468600.0,9999.851697363787,10001.133806987094,-0.00012819642733023784,False
116,1,1770468900.0,10000.172378220239,10001.133806987094,-9.613197717481294e-05,False
117,1,1770469200.0,10000.253977425804,10001.133806987094,-8.797298169092182e-05,False
118,1,1770469500.0,10000.125886873126,10001.133806987094,-0.00010078058482375573,False
119,1,1770469800.0,9999.81114777079,10001.133806987094,-0.00013225092692796,False
120,1,1770470100.0,10000.05163273449,10001.133806987094,-0.00010820515688411759,False
121,1,1770470400.0,10000.044806858366,10001.133806987094,-0.00010888766711302218,False
122,1,1770470700.0,10000.042561503624,10001.133806987094,-0.000109112177132182,False
123,1,1770471000.0,9999.593651254509,10001.133806987094,-0.00015399811284495018,False
124,1,1770471300.0,9999.009202517926,10001.133806987094,-0.0002124363607338731,False
125,1,1770471600.0,9999.235299686568,10001.133806987094,-0.00018982920708446877,False
126,1,1770471900.0,9999.588064399772,10001.133806987094,-0.00015455673498167955,False
127,1,1770472200.0,9999.61296283766,10001.133806987094,-0.0001520671734610419,False
128,1,1770472500.0,9999.7736785771,10001.133806987094,-0.0001359974215168271,False
129,1,1770472800.0,9999.899070442787,10001.133806987094,-0.0001234596564886301,False
130,1,1770473100.0,9999.911582237957,10001.133806987094,-0.00012220861881513442,False
131,1,1770473400.0,9999.85850614754,10001.133806987094,-0.00012751562614460063,False
132,1,1770473700.0,9999.863030596027,10001.133806987094,-0.0001270632325886645,False
133,1,1770474000.0,10000.031819772059,10001.133806987094,-0.00011018622851197102,False
134,1,1770474300.0,9999.84403697247,10001.133806987094,-0.00012896237961769995,False
135,1,1770474600.0,9999.600395675883,10001.133806987094,-0.0001533237471675413,False
136,1,1770474900.0,9998.97780754946,10001.133806987094,-0.00021557550166247872,False
137,1,1770475200.0,9999.484345818308,10001.133806987094,-0.0001649274172928639,False
138,1,1770475500.0,9998.606650027588,10001.133806987094,-0.0002526870461167666,False
139,1,1770475800.0,9998.843349170435,10001.133806987094,-0.0002290198152393208,False
140,1,1770476100.0,9998.92659434391,10001.133806987094,-0.00022069624162441236,False
141,1,1770476400.0,9999.673723141039,10001.133806987094,-0.00014599183194964448,False
142,1,1770476700.0,9999.934694438327,10001.133806987094,-0.00011989766079619693,False
143,1,1770477000.0,10000.136323732531,10001.133806987094,-9.973701720361441e-05,False
144,1,1770477300.0,10000.108581536384,10001.133806987094,-0.00010251092231104528,False
145,1,1770477600.0,10000.717928650447,10001.133806987094,-4.1583118941663686e-05,False
146,1,1770477900.0,10000.630504198289,10001.133806987094,-5.032457304531991e-05,False
147,1,1770478200.0,10001.060490363843,10001.133806987094,-7.330831150365085e-06,False
148,1,1770478500.0,10000.997930043026,10001.133806987094,-1.3586153999218164e-05,False
149,1,1770478800.0,10000.749416094317,10001.133806987094,-3.8434731521030076e-05,False
150,1,1770479100.0,10000.79898395128,10001.133806987094,-3.3478507764911274e-05,False
151,1,1770479400.0,10000.750936861083,10001.133806987094,-3.8282672085067216e-05,False
152,1,1770479700.0,10000.97419832735,10001.133806987094,-1.5959056525395744e-05,False
153,1,1770480000.0,10000.97234439286,10001.133806987094,-1.6144428956840903e-05,False
154,1,1770480300.0,10002.148699119503,10002.148699119503,0.0,False
155,1,1770480600.0,10002.548023097708,10002.548023097708,0.0,False
156,1,1770480900.0,10002.435047746654,10002.548023097708,-1.129465720066188e-05,False
157,1,1770481200.0,10002.579443930643,10002.579443930643,0.0,False
158,1,1770481500.0,10002.493874103066,10002.579443930643,-8.554776101198158e-06,False
159,1,1770481800.0,10002.519927859668,10002.579443930643,-5.950072309658993e-06,False
160,1,1770482100.0,10002.689444306912,10002.689444306912,0.0,False
161,1,1770482400.0,10002.575882925355,10002.689444306912,-1.1353084806749278e-05,False
162,1,1770482700.0,10002.396462552011,10002.689444306912,-2.929029802758424e-05,False
163,1,1770483000.0,10002.413285090663,10002.689444306912,-2.7608496473598934e-05,False
164,1,1770483300.0,10002.365065442435,10002.689444306912,-3.242916480450327e-05,False
165,1,1770483600.0,10002.4521159346,10002.689444306912,-2.3726456132945206e-05,False
166,1,1770483900.0,10002.122397842137,10002.689444306912,-5.66894001790984e-05,False
167,1,1770484200.0,10002.044652455694,10002.689444306912,-6.446184846671706e-05,False
168,1,1770484500.0,10002.441814850165,10002.689444306912,-2.4756287609097472e-05,False
169,1,1770484800.0,10002.489496139313,10002.689444306912,-1.9989440711184023e-05,False
170,1,1770485100.0,10002.702310321958,10002.702310321958,0.0,False
171,1,1770485400.0,10002.539935126262,10002.702310321958,-1.6233132873333723e-05,False
172,1,1770485700.0,10003.073293210178,10003.073293210178,0.0,False
173,1,1770486000.0,10002.868174477222,10003.073293210178,-2.0505571332303347e-05,False
174,1,1770486300.0,10002.833293004402,10003.073293210178,-2.3992646933768024e-05,False
175,1,1770486600.0,10002.70907441154,10003.073293210178,-3.641068979131172e-05,False
