week_index,train_start,train_end,trade_start,trade_end,selection_score,selection_net_pnl_pct,selection_max_drawdown_pct,start_equity,final_equity,net_pnl_quote,net_pnl_pct,max_drawdown_pct,liquidations,trades,completed_cycles,grid_moves,open_positions,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,min_grid_move_seconds,selected_portfolio_stop_loss
1,2026-01-08 03:15:00,2026-02-07 03:15:00,2026-02-07 03:15:00,2026-02-14 03:15:00,-0.04590077365460445,-0.00931329105490604,-0.02439165506646561,10000.0,10015.26737418508,15.267374185079461,0.0015267374185079462,-0.0009088908285735785,0,1530,754,14,9,0.1,8,0.005,0.005,0.01,0.04,1800.0,0.08
2,2026-02-07 03:15:00,2026-02-14 03:15:00,2026-02-14 03:15:00,2026-02-21 03:15:00,0.0004905028014824111,0.0016461848319131605,-0.0007704546869538329,10015.192333444462,10024.90519702067,9.712863576207383,0.0009698129853954486,-0.000818150208414705,0,1233,613,21,9,0.1,8,0.005,0.005,0.005,0.04,0.0,0.08
3,2026-02-14 03:15:00,2026-02-21 03:15:00,2026-02-21 03:15:00,2026-02-28 03:15:00,-0.0002747707062065179,0.0008197924267869894,-0.0007297087553290049,10024.871596754425,10031.944419928559,7.0728231741341006,0.0007055275577219307,-0.002150260251496525,0,1208,594,31,10,0.1,8,0.005,0.005,0.01,0.04,1800.0,0.08
4,2026-02-21 03:15:00,2026-02-28 03:15:00,2026-02-28 03:15:00,2026-03-07 03:15:00,-0.0009872131885882598,0.0005312242331045126,-0.0010122916144618482,10032.124765344639,10052.877423085878,20.75265774123909,0.0020686203796954237,-0.0020523468872061038,0,1819,910,38,10,0.1,8,0.005,0.005,0.005,0.04,0.0,0.08
5,2026-02-28 03:15:00,2026-03-07 03:15:00,2026-03-07 03:15:00,2026-03-14 03:15:00,0.00036648279951641727,0.0013670418604506266,-0.0006670393739561395,10052.40312138719,10072.180306168919,19.777184781729375,0.001967408642780355,-0.0016485867632350015,0,1183,599,12,9,0.1,8,0.005,0.005,0.005,0.04,0.0,0.08
6,2026-03-07 03:15:00,2026-03-14 03:15:00,2026-03-14 03:15:00,2026-03-21 03:15:00,0.0010305779846783633,0.0014154537575221185,-0.0002565838485625035,10072.211258171956,10080.455678679513,8.244420507557152,0.0008185313330146992,-0.001434385590343402,0,1180,581,28,10,0.08,8,0.005,0.005,0.005,0.04,1800.0,0.08
7,2026-03-14 03:15:00,2026-03-21 03:15:00,2026-03-21 03:15:00,2026-03-28 03:15:00,-0.0007597599677563198,0.0004332604684172111,-0.0007953469574490205,10080.148137030066,10067.83884244559,-12.309294584476447,-0.0012211422309616135,-0.0024947778210979116,0,819,396,11,10,0.1,8,0.005,0.005,0.015,0.04,0.0,0.08
8,2026-03-21 03:15:00,2026-03-28 03:15:00,2026-03-28 03:15:00,2026-04-04 03:15:00,-0.0014836434006810179,-0.00010914421579291229,-0.0009163327899254037,10068.046439747332,10077.435862887443,9.38942314011183,0.0009325963280268171,-0.0033617971009495865,0,776,388,7,9,0.1,8,0.005,0.005,0.015,0.04,0.0,0.08
9,2026-03-28 03:15:00,2026-04-04 03:15:00,2026-04-04 03:15:00,2026-04-11 03:15:00,9.787720452155172e-05,0.0006726767627938898,-0.00038319970551489203,10077.109199569106,10101.441490327075,24.33229075796953,0.0024146102097424896,-0.0019767316772195927,0,745,380,12,10,0.1,8,0.005,0.005,0.005,0.04,0.0,0.08
10,2026-04-04 03:15:00,2026-04-11 03:15:00,2026-04-11 03:15:00,2026-04-18 03:15:00,0.0003759453538025046,0.0011166324924397487,-0.0004937914257581627,10101.552648139988,10126.02842731876,24.475779178772427,0.00242297199562477,-0.0015862951249485209,0,1257,638,8,9,0.1,12,0.005,0.005,0.015,0.04,0.0,0.08
11,2026-04-11 03:15:00,2026-04-18 03:15:00,2026-04-18 03:15:00,2026-04-25 03:15:00,0.0007579341669290304,0.0012900519562892441,-0.00035474519290680913,10126.229797569671,10129.327521578567,3.097724008895966,0.00030591089386885437,-0.0020334963665498717,0,848,410,4,10,0.1,12,0.005,0.005,0.015,0.04,0.0,0.08
12,2026-04-18 03:15:00,2026-04-25 03:15:00,2026-04-25 03:15:00,2026-05-02 03:15:00,2.464405813884453e-05,0.0005450967851737005,-0.000346968484689904,10129.515059310015,10130.485718104517,0.9706587945020146,9.582480393371688e-05,-0.0015807872078981175,0,455,227,5,10,0.1,8,0.005,0.005,0.005,0.04,0.0,0.08
13,2026-04-25 03:15:00,2026-05-02 03:15:00,2026-05-02 03:15:00,2026-05-09 03:15:00,-0.0003785731070082767,0.0003326661388933644,-0.0004741594972677607,10130.734981725911,10154.787161955424,24.052180229513397,0.0023741791955765655,-0.000686149509945369,0,798,417,18,10,0.08,8,0.005,0.005,0.005,0.04,1800.0,0.08
14,2026-05-02 03:15:00,2026-05-09 03:15:00,2026-05-09 03:15:00,2026-05-16 03:15:00,0.00037117501989273623,0.000728647422082031,-0.0002383149347928632,10154.951584831802,10157.08751077363,2.135925941827736,0.0002103334441316407,-0.001079301639098284,0,849,414,7,10,0.08,8,0.005,0.005,0.015,0.04,0.0,0.08
15,2026-05-09 03:15:00,2026-05-16 03:15:00,2026-05-16 03:15:00,2026-05-23 03:15:00,-0.0007831267309092054,0.00011639534348851157,-0.0005996813829318113,10157.10992327829,10139.934579354061,-17.17534392422931,-0.0016909676132249463,-0.002886657551604139,0,552,259,6,10,0.1,8,0.005,0.005,0.01,0.04,1800.0,0.08
