pair,trades,fees,inventory,mark_to_market,buy_notional,sell_notional,last_price
SOL-USDT,18,11.114227,61.94312500000001,395.7053884742818,30029.863138570137,25541.31758529442,79.03
ETH-USDT,22,16.51809,-4.026322,311.78112969200265,37568.405694444,45022.086957536005,1769.7
BTC-USDT,19,13.275070000000001,0.023719999999999963,259.16996417000155,33808.58046766999,32566.198225439995,63862.87
BNB-USDT,7,5.682563999999999,-10.226354999999998,51.72547720499915,11239.887987370003,17172.950557375,574.56
ADA-USDT,19,9.201177,62168.161579000036,38.19907550565222,28207.53296140722,17798.24843632507,0.1682
XRP-USDT,8,10.869139,-25319.836714999998,22.424815271122498,13153.0792217839,41192.64456651652,1.1061
TRX-USDT,0,0.0,0.0,0.0,0.0,0.0,0.3319
AVAX-USDT,8,10.895661,-5275.958678,-191.31426288782677,9406.940682402495,45071.385338846674,6.794
DOGE-USDT,11,16.413492,-706428.9403649999,-296.1380662872325,15021.412299709333,67045.6864700467,0.07404
LINK-USDT,12,21.713751,-9520.865625,-465.3242772280064,16913.062827615,91655.728142012,7.897
