pair,trades,fees,inventory,mark_to_market,buy_notional,sell_notional,last_price
BTC-USDT,121,226.85103700000002,0.8639510000000006,2200.0920706400357,212254.79697151,159507.34967978,63862.87
ETH-USDT,114,219.70488899999998,17.307543999999993,1226.327796912974,184280.92721415704,155097.79928327003,1769.7
SOL-USDT,134,313.62997,361.35224900000003,580.7743667289324,221655.63650987606,193992.372608135,79.03
XRP-USDT,96,266.750481,-15900.967998000007,419.06870462668303,163935.7064469521,182209.5863351666,1.1061
BNB-USDT,48,120.24300799999999,-64.30543999999998,256.42998214252293,74367.7706527782,111691.7772493207,574.56
DOGE-USDT,87,220.091723,-948329.2650950009,-82.2181309962034,139728.00400531784,210080.1763849555,0.07404
TRX-USDT,17,111.05553899999998,-159559.857825,-167.46878688018478,29820.74643576268,82722.25,0.3319
ADA-USDT,123,253.65906800000002,83759.59710999997,-403.765058453615,177076.73746243745,162838.26723808184,0.1682
LINK-USDT,86,219.665676,-19253.750007000002,-2223.4610563839087,134358.2553727051,284401.3237976002,7.897
AVAX-USDT,97,284.301172,-20044.712836999992,-4739.914030757383,143593.27036157195,275321.4365173925,6.794
